Rank,Name,Games Won,Region,Seed,Win %,SoS,Pts / Gm,Opp Pts / Gm,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA
1,Baylor,6,0,1,1,0.8449,0.7971,0.5117,0.9016,0.7586,0.5109,0.7996,0.9819,0.9615,0.8067,0.7422,0.7382,0.7366,0.4323,0.704,0.8302,0.4162,0.7008,0.8879,0.8815,0.5342,0.7224
3,Notre Dame,5,2,1,0.9338,1,1,0.3523,1,0.734,0.7409,0.8798,0.7251,0.9072,0.6306,0.7224,0.867,0.9018,0.3427,0.8411,0.7799,0.4104,0.7,0.5635,0.6924,0.6895,0.8857
6,Oregon,4,1,2,0.9002,0.8158,0.9308,0.3926,0.9378,1,0.8723,1,0.4804,0.8873,0.5887,0.5269,1,1,0.2189,0.5794,1,0.3121,0.7299,0.5341,1,0.4338,0.8571
8,UConn,4,3,2,0.9674,0.6646,0.8473,0.5101,0.8705,0.7044,0.7628,0.8743,0.9456,1,0.5906,0.5269,0.8755,0.8839,0.4319,0.676,0.8994,0.4509,0.7907,0.6758,0.8699,0.5251,1
5,Iowa,3,0,2,0.8267,0.8194,0.7804,0.2919,1,0.6355,0.8978,0.8069,0.435,0.7268,0.524,0.4051,0.9227,0.9509,0.2429,0.6885,0.7233,0.2081,0.5693,0.9172,0.8136,0.5799,0.8735
2,Miss St,3,1,1,0.9653,0.6781,0.9308,0.4564,0.8601,0.8079,0.7409,0.9199,0.8489,0.9907,0.7335,0.8924,0.7682,0.808,0.2858,0.7134,0.8931,0.7225,0.9153,0.2567,0.6121,0.6804,0.6816
7,Stanford,3,2,2,0.896,0.8317,0.6158,0.4094,0.6528,0.6749,0.646,0.6976,0.6828,0.756,0.5064,0.4306,0.7339,0.7232,0.3125,0.7321,0.7925,0.3353,0.6722,0.403,0.5377,0.3562,0.7592
4,Louisville,3,3,1,0.9307,0.8728,0.7661,0.4128,0.7565,0.7143,0.8029,0.8106,0.71,0.8501,0.4393,0.5014,0.7897,0.808,0.2827,0.6636,0.8491,0.5838,0.8515,0.4887,0.6629,0.5023,0.6612
9,NC State,2,0,3,0.8558,0.8137,0.5847,0.4044,0.6218,0.6256,0.6168,0.6521,0.6556,0.7109,0.6108,0.4759,0.6781,0.692,0.3401,0.6199,0.6981,0.1792,0.518,0.4535,0.4499,0.5297,0.951
13,S Carolina,2,0,4,0.702,0.8124,0.6826,0.3104,0.5596,0.5517,0.7044,0.6375,0.5589,0.6578,0.4381,0.5609,0.5536,0.6071,0.2521,0.7321,0.7862,0.4046,0.7043,0.1618,0.3791,0.6621,0.6082
18,Arizona St,2,1,5,0.6651,0.8238,0.4582,0.4631,0.5078,0.5074,0.5146,0.6011,0.6103,0.6538,0.5622,0.5694,0.5236,0.5134,0.2451,0.4642,0.8176,0.3873,0.6696,0.656,0.6172,0.3744,0.7265
22,S Dakota St,2,1,6,0.8267,0.5703,0.7852,0.3775,0.8238,0.7635,0.792,0.8033,0.5891,0.7918,0.5633,0.4193,0.8498,0.8795,0.2378,0.6449,0.7987,0.3699,0.6735,0.6409,0.6947,0.6393,0.6653
15,Texas A&M,2,2,4,0.7843,0.737,0.5155,0.4362,0.5596,0.4926,0.6204,0.5647,0.7341,0.6817,0.5556,0.5779,0.485,0.558,0.3451,0.6262,0.6478,0.3699,0.5966,0.2088,0.2912,0.8128,0.8367
43,Missouri St,2,2,11,0.7128,0.5092,0.5943,0.3775,0.5078,0.4483,0.5365,0.5464,0.7039,0.6552,0.5946,0.5949,0.4506,0.4821,0.2288,0.7352,0.7484,0.5723,0.7477,0.1134,0.3192,0.5799,0.7633
16,Oregon St,2,3,4,0.7843,0.6288,0.6874,0.4111,0.7824,0.8424,0.7336,0.7814,0.6224,0.7905,0.5912,0.3966,0.8541,0.8482,0.3372,0.567,0.8113,0,0.4902,0.4666,0.6339,0.4018,0.9061
24,UCLA,2,3,6,0.6189,0.8227,0.6253,0.2836,0.4819,0.4433,0.6971,0.6321,0.3988,0.5836,0.5422,0.7252,0.4464,0.4866,0.1622,0.6355,0.8491,0.3988,0.7034,0.2738,0.4598,0.5479,0.6041
17,Florida St,1,0,5,0.7485,0.7428,0.5131,0.4094,0.4404,0.3103,0.7518,0.5392,0.6495,0.626,0.4863,0.5552,0.4506,0.4866,0.2168,0.6449,0.7484,0.5896,0.759,0.2479,0.3627,0.4886,0.7388
21,Kentucky,1,0,6,0.7922,0.6969,0.5871,0.4513,0.4404,0.7192,0.7883,0.5756,0.7976,0.7175,0.3127,0.4759,0.4936,0.5357,0.2262,0.6698,0.7925,0.8786,0.9761,0.2754,0.4078,0.5251,0.5469
25,Missouri,1,0,7,0.6987,0.7224,0.4511,0.4547,0.6321,0.7143,0.7628,0.6102,0.6224,0.6658,0.4636,0.3994,0.7639,0.8036,0.3344,0.4829,0.4528,0.2717,0.4776,0.5933,0.333,0.6804,0.6653
29,California,1,0,8,0.6055,0.7434,0.6038,0.2752,0.601,0.67,0.6277,0.6703,0.2447,0.5438,0.564,0.5524,0.6395,0.6518,0.1466,0.5763,0.7736,0.1445,0.5167,0.4829,0.5246,0.484,0.7673
10,Syracuse,1,1,3,0.7575,0.8828,0.7327,0.2936,0.5596,0.6059,0.7737,0.6412,0.574,0.6671,0.4598,0.5779,0.6609,0.6607,0.2317,0.7975,0.6478,0.526,0.6939,0.5749,0.4572,0.3516,0.6367
14,Miami (Fla.),1,1,4,0.7575,0.7293,0.6993,0.3356,0.6477,0.734,0.5146,0.6393,0.577,0.6671,0.5526,0.5892,0.6824,0.692,0.3077,0.6667,0.6226,0.2948,0.5284,0.4548,0.3963,0.5936,0.7347
34,Clemson,1,1,9,0.6055,0.7478,0.5227,0.3121,0.4974,0.6502,0.4745,0.3843,0.6647,0.5199,0.3906,0.5467,0.4292,0.4509,0.2394,0.8536,0.4025,0.6821,0.6513,0.2277,0.1774,0.5388,0.7469
38,Indiana,1,1,10,0.6189,0.701,0.5251,0.3406,0.5233,0.6749,0.7847,0.51,0.5529,0.5623,0.3944,0.3116,0.5193,0.5893,0.2358,0.6947,0.6289,0.3757,0.5988,0.1955,0.2804,0.6986,0.5592
