Rank,Name,Games Won,Region,Seed,Win %,SoS,Pts / Gm,Opp Pts / Gm,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA
1,Baylor,2,0,1,0.9984,0.9928,0.9683,0.7741,1.0000,0.7936,0.4669,0.9202,0.8240,0.8715,0.7290,0.6381,0.9205,0.8987,0.8720,0.5773,0.8496,0.4526,0.6607,0.8475,1.0000,0.5053,0.9635
2,Stanford,2,1,1,0.9691,0.9180,0.7262,0.8472,0.7368,0.6055,0.6576,0.8232,0.7654,0.7821,0.6471,0.5818,0.7614,0.7357,1.0000,0.3182,0.9398,0.0803,0.4846,0.3887,0.7113,0.3263,0.8128
3,Notre Dame,4,2,1,1.0000,0.8724,0.9683,0.6047,0.7325,0.7018,0.9728,0.8517,0.6833,0.7657,0.6985,0.7668,0.7197,0.7841,0.5954,0.6318,0.7895,0.6715,0.7580,0.8067,0.7744,0.7737,0.7534
4,UConn,6,3,1,0.9487,0.9626,1.0000,0.9169,0.9167,0.8761,0.8405,1.0000,1.0000,1.0000,0.8187,0.7131,1.0000,1.0000,0.9707,0.5136,0.7970,0.6277,0.7433,0.7813,0.8979,0.2842,0.8676
5,Tennessee,3,0,2,0.8155,0.9871,0.8891,0.4485,0.7105,0.7706,0.8210,0.7662,0.5425,0.6486,0.5882,0.6220,0.7197,0.7401,0.6315,0.6818,0.7293,0.3212,0.4872,0.3625,0.5018,0.5526,0.8356
6,California,4,1,2,0.9397,0.7665,0.7579,0.6279,0.5965,0.5275,0.2412,0.7224,0.5982,0.6436,0.7524,0.7909,0.5985,0.5463,0.5527,0.4682,0.8722,0.4672,0.6204,0.2918,0.5086,0.4789,0.6073
7,Duke,3,2,2,0.9691,0.8060,0.8190,0.7807,0.7325,1.0000,0.7510,0.7757,0.8328,0.7796,0.6361,0.7185,0.7538,0.7489,0.8150,0.5545,0.6541,0.7007,0.7087,0.5251,0.5453,0.4263,0.8311
8,Kentucky,3,3,2,0.8810,0.8674,0.8394,0.6545,0.5746,0.6468,0.5953,0.7091,0.7390,0.6952,0.5276,0.6622,0.6477,0.6167,0.4652,0.6636,0.7820,0.9781,0.9507,0.2646,0.4490,0.3579,0.4566
9,UCLA,1,0,3,0.8286,0.8273,0.6425,0.5947,0.5877,0.5872,0.5175,0.5551,0.6129,0.5390,0.6292,0.6783,0.5644,0.5330,0.5964,0.5591,0.5113,0.5401,0.4654,0.7548,0.4940,0.4263,0.5251
10,Penn State,1,1,3,0.8590,0.8724,0.7986,0.6080,0.6096,0.9404,0.7276,0.6806,0.6716,0.6474,0.5864,0.5657,0.6288,0.6344,0.5518,0.6500,0.7820,0.6569,0.7388,0.1834,0.4130,0.5316,0.4475
11,Texas A&M,1,2,3,0.7552,1.0000,0.7127,0.6545,0.7456,0.7615,0.5136,0.6844,0.6510,0.6411,0.5632,0.5710,0.7008,0.6520,0.6577,0.5045,0.7444,0.4891,0.6204,0.6552,0.6862,0.2632,0.8265
12,UNC,1,3,3,0.8517,0.7265,0.6923,0.5714,0.4825,0.5000,0.3580,0.4943,0.7595,0.5617,0.5096,0.6354,0.5076,0.4934,0.6728,0.8182,0.4361,0.7591,0.5954,0.4717,0.2999,0.6947,0.5571
13,Purdue,1,0,4,0.7774,0.8654,0.6697,0.5349,0.6491,0.7890,0.8560,0.6274,0.4839,0.5315,0.4995,0.4960,0.7008,0.7401,0.5236,0.4273,0.4662,0.3869,0.3726,0.8051,0.5021,0.6684,0.6758
14,Georgia,3,1,4,0.8458,0.7056,0.6335,0.7807,0.4912,0.4220,0.4591,0.6084,0.7654,0.6398,0.5468,0.6220,0.5227,0.4714,0.6975,0.4455,0.8496,0.7153,0.8310,0.5268,0.5890,0.3158,0.8447
15,S Carolina,1,2,4,0.8009,0.8076,0.5204,0.9003,0.4518,0.3028,0.0623,0.5856,0.7771,0.6297,0.6770,0.7480,0.4621,0.3921,0.7468,0.2455,0.8120,0.5328,0.6178,0.2771,0.3932,0.5684,0.6393
16,Maryland,2,3,4,0.8084,0.8168,0.8303,0.6844,0.8026,0.6972,0.6732,0.7871,0.6979,0.7292,0.8608,0.8177,0.7841,0.7797,0.6500,0.5409,0.5564,0.3942,0.3707,0.6723,0.5720,0.4526,0.6484
17,Louisville,5,0,5,0.8069,0.7374,0.7557,0.6246,0.6667,0.6193,0.6031,0.7167,0.5982,0.6398,0.4548,0.5952,0.7197,0.7093,0.4720,0.5000,0.6391,0.8102,0.7740,0.5001,0.4913,0.4947,0.6941
18,Iowa St,1,1,5,0.7689,0.7227,0.6584,0.6578,0.6140,0.6560,1.0000,0.7015,0.5777,0.6209,0.6599,0.4799,0.7614,0.8150,0.6258,0.3591,0.4812,0.2701,0.3073,0.9832,0.5675,0.6842,0.8082
19,Colorado,0,2,5,0.8458,0.5797,0.5950,0.7807,0.4518,0.5321,0.5214,0.5703,0.7625,0.6134,0.6770,0.6542,0.4735,0.4405,0.6891,0.4409,0.7820,0.5766,0.6588,0.4712,0.4916,0.4263,0.5388
20,Michigan St,1,3,5,0.7774,0.7624,0.5294,0.8405,0.5088,0.6147,0.4942,0.5665,0.7625,0.6108,0.6318,0.5228,0.5720,0.5022,0.5824,0.2818,0.7444,0.5109,0.5851,0.5882,0.5617,0.1789,0.7854
21,Oklahoma,2,0,6,0.7249,0.8301,0.7760,0.3588,0.5965,0.8211,0.7276,0.6711,0.3959,0.5227,0.4191,0.4021,0.7235,0.7401,0.5532,0.6500,0.6316,0.1752,0.3515,0.4842,0.4519,0.6211,0.6895
22,LSU,2,1,6,0.6841,0.8316,0.6946,0.4518,0.6272,0.4679,0.6304,0.6027,0.4545,0.5025,0.4631,0.5737,0.6023,0.6123,0.4937,0.5682,0.5940,0.4599,0.5083,0.4617,0.4268,0.6474,0.6530
23,Nebraska,2,2,6,0.7774,0.8804,0.6493,0.6113,0.5088,0.5780,0.8054,0.6445,0.5073,0.5529,0.4816,0.4665,0.5947,0.5859,0.5429,0.4045,0.8195,0.3796,0.5819,0.6849,0.6492,0.3947,0.8904
24,Delaware,2,3,6,0.9397,0.5988,0.6493,0.8372,0.5702,0.7018,0.7899,0.7719,0.6628,0.7040,0.6179,0.6971,0.5833,0.6079,0.7882,0.2091,0.9398,0.3650,0.6434,0.3811,0.6079,0.6211,0.7717
25,Syracuse,0,0,7,0.7929,0.5533,0.7624,0.6645,0.5000,0.4954,0.6420,0.6730,0.7097,0.6587,0.5877,0.7507,0.5720,0.5683,0.7112,0.5455,0.6917,0.6350,0.6645,0.6310,0.5163,0.5368,0.7808
26,Texas Tech,0,1,7,0.6938,0.7438,0.6109,0.6179,0.4561,0.6468,0.6265,0.6217,0.4956,0.5327,0.4266,0.5550,0.5303,0.5419,0.3565,0.3545,0.7744,0.7299,0.7887,0.2500,0.3734,0.6789,0.6119
27,OK State,1,2,7,0.7048,0.7664,0.7941,0.5880,0.6930,0.6881,0.8716,0.7776,0.5718,0.6688,0.6385,0.7078,0.6894,0.6784,0.5244,0.4955,0.7895,0.5766,0.6997,0.5359,0.6470,0.3474,0.5936
28,Dayton,1,3,7,0.9549,0.5897,0.8507,0.6080,0.6842,0.7294,0.6732,0.7395,0.6950,0.6965,0.5812,0.5576,0.7500,0.7269,0.6630,0.6364,0.6992,0.5693,0.6440,0.6044,0.6017,0.3579,0.7260
29,Florida St,1,0,8,0.7369,0.8330,0.8258,0.4120,0.7281,0.7569,0.6342,0.6901,0.5103,0.5844,0.4028,0.5603,0.6970,0.7004,0.5296,0.7182,0.6842,0.5693,0.6818,0.4826,0.5273,0.5737,0.8813
30,Michigan,1,1,8,0.7048,0.7936,0.4932,0.7309,0.6404,0.7202,0.7354,0.6825,0.4223,0.5416,0.5026,0.4450,0.7348,0.7093,0.5300,0.0773,0.6767,0.2117,0.4142,0.6690,0.6017,0.2789,0.9954
31,Miami (Fla.),0,2,8,0.6938,0.6935,0.6041,0.6047,0.4386,0.4128,0.5759,0.4829,0.6921,0.5252,0.5563,0.6408,0.4659,0.4537,0.7237,0.6545,0.4887,0.5328,0.4686,0.4784,0.3254,0.5263,0.6575
