Rank,Name,Games Won,Region,Seed,Win %,SoS,Pts / Gm,Opp Pts / Gm,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA
1,S Carolina,6,0,1,0.9979,0.9864,0.5904,0.8645,0.6162,0.5316,0.3727,0.8219,0.9677,1.0000,1.0000,0.2243,0.5546,0.5312,1.0000,0.3213,0.6891,0.3091,0.4296,0.4297,0.4759,0.5689,0.8826
5,Iowa,1,0,2,0.8178,0.7185,0.9084,0.2484,1.0000,0.7532,1.0000,1.0000,0.4636,0.8367,0.5468,0.3601,1.0000,1.0000,0.4558,0.6244,0.6393,0.2936,0.4662,0.6858,0.7278,0.7784,0.6995
9,Iowa St,2,0,3,0.8667,0.8278,0.7253,0.4742,0.6324,0.9937,0.9446,0.9335,0.5445,0.8397,0.5936,0.5576,0.7974,0.8010,0.5385,0.3982,0.7747,0.2395,0.4870,0.4478,0.5858,0.6168,0.9061
13,Arizona,1,0,4,0.7901,0.6492,0.5084,0.7000,0.6216,0.6899,0.5092,0.7601,0.7089,0.8222,0.4317,0.2757,0.6304,0.5983,0.4094,0.2081,0.7516,0.7869,0.8081,0.5213,0.5998,0.4671,0.3568
17,UNC,2,0,5,0.8460,0.7491,0.6458,0.7484,0.4811,0.5063,0.5092,0.7126,0.9299,0.9125,0.6625,0.4588,0.4503,0.4571,0.7683,0.5475,0.8147,0.7077,0.7889,0.3604,0.5008,0.5569,0.8592
21,Georgia,1,0,6,0.7357,0.8515,0.5373,0.6290,0.6162,0.5127,0.6125,0.6413,0.7709,0.7828,0.6332,0.3704,0.4968,0.4828,0.6323,0.4434,0.5796,0.5956,0.5784,0.5874,0.4964,0.3832,0.6761
25,Colorado,0,0,7,0.7822,0.5066,0.4120,0.7000,0.4865,0.4367,0.4022,0.6200,0.7358,0.7507,0.4798,0.4342,0.4870,0.4758,0.5105,0.2353,0.6337,0.7128,0.7018,0.5849,0.4711,0.5449,0.6573
29,Miami (Fla.),1,0,8,0.6667,0.7195,0.3470,0.6484,0.4216,0.4367,0.4391,0.4751,0.7035,0.6443,0.4652,0.5206,0.4425,0.4152,0.5269,0.3258,0.4232,0.6613,0.5481,0.5685,0.3189,0.3413,0.5775
33,S Florida,0,0,9,0.8000,0.6272,0.3349,0.7968,0.3297,0.4051,0.5609,0.5677,0.7520,0.7274,0.6497,0.4156,0.3304,0.3560,0.7185,0.1448,0.6484,0.4121,0.4918,0.7450,0.5107,0.5210,0.6761
37,Creighton,3,0,10,0.7357,0.7343,0.6747,0.4871,0.7459,0.8608,0.5793,0.9596,0.4744,0.8178,0.5681,0.3683,0.8913,0.7917,0.3241,0.2624,0.7509,0.4288,0.5784,1.0000,1.0000,0.1437,0.7042
42,Dayton,0,0,11,0.8889,0.4410,0.4506,0.7677,0.4324,0.6709,0.3985,0.6318,0.8167,0.8017,0.6454,0.5041,0.4391,0.4273,0.7853,0.2896,0.7740,0.3651,0.5439,0.4534,0.5039,0.4850,0.7793
47,SF Austin,0,0,12,0.9333,0.3989,0.6193,0.7290,0.6486,0.5759,0.4686,0.8029,0.9569,0.9825,0.4325,0.5103,0.7068,0.6841,0.8342,0.5566,0.6021,1.0000,0.9426,0.6261,0.5294,0.6826,0.6338
51,UNLV,0,0,13,0.8667,0.6159,0.6940,0.4516,0.7135,0.7975,0.6273,0.8622,0.5606,0.8047,0.6441,0.5206,0.7156,0.7078,0.4745,0.4525,0.6905,0.3542,0.4949,0.4757,0.5394,0.6766,0.7887
55,UT Arlington,0,0,14,0.7901,0.4151,0.5590,0.4032,0.5838,0.2785,0.4613,0.6413,0.5472,0.6618,0.3814,0.4280,0.4924,0.5112,0.5356,0.4751,0.6926,0.3947,0.5603,0.6235,0.5642,0.7425,0.7371
59,Illinois St,0,0,15,0.6334,0.5454,0.4241,0.4871,0.6486,0.7025,0.6827,0.7268,0.4447,0.6589,0.4464,0.4568,0.6476,0.6705,0.4145,0.1448,0.6225,0.3606,0.4965,0.2557,0.3426,0.7784,0.6620
