Rank,Name,Games Won,Region,Seed,Win %,SoS,Pts / Gm,Opp Pts / Gm,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA
1,UCLA,4,0,1,0.9966960352,0.8798380976,0.771562346,0.7852716004,0.8615384615,0.6136363636,0.6638655462,0.8493723849,0.8414985591,0.8250688705,1,0.9007092199,0.8085106383,0.7914691943,0.8934911243,0.5051546392,0.6341463415,0.2876712329,0.4611825193,0.9375,0.6402439024,0.3440860215,0.7452830189
2,USC,3,1,1,0.9581497797,0.8676954212,0.8410547068,0.7057965731,0.6717948718,0.5965909091,0.8445378151,0.7824267782,0.9048991354,0.8112947658,0.7848837209,0.7553191489,0.6425531915,0.6872037915,0.8047337278,0.7525773196,0.7195121951,0.5547945205,0.6982005141,0.7092391304,0.5304878049,0.7096774194,0.5566037736
3,S Carolina,5,2,1,0.9647577093,1,0.8171513061,0.781625957,0.7794871795,0.6193181818,0.8193277311,0.8807531381,0.8587896254,0.8539944904,0.7790697674,0.8333333333,0.6936170213,0.7014218009,0.9467455621,0.5463917526,0.8719512195,0.3561643836,0.7028277635,0.5570652174,0.6585365854,0.435483871,0.8396226415
4,Texas,5,3,1,0.968061674,0.9028585884,0.7792015771,0.8490703609,0.758974359,0.4375,0.7857142857,0.8472803347,0.9221902017,0.8622589532,0.8662790698,0.9858156028,0.5957446809,0.644549763,0.7278106509,0.5103092784,0.7987804878,0.7671232877,0.8529562982,0.5706521739,0.5548780488,0.7634408602,0.4245283019
5,NC State,2,0,2,0.859030837,0.8912218568,0.7274519468,0.5016405396,0.6974358974,0.625,0.474789916,0.7384937238,0.5965417867,0.6349862259,0.6279069767,0.524822695,0.6638297872,0.6255924171,0.7041420118,0.5773195876,0.8719512195,0.1369863014,0.5655526992,0.3614130435,0.5243902439,0.3064516129,0.8867924528
6,UConn,6,1,2,0.968061674,0.7786491272,0.8255298176,0.9970834852,1,0.8977272727,0.8193277311,1,1,1,0.7674418605,0.5673758865,0.9829787234,0.9526066351,0.875739645,0.3762886598,0.8902439024,0.6506849315,0.8709511568,0.8695652174,1,0.1129032258,0.929245283
7,Duke,3,2,2,0.8314977974,0.9079180369,0.6552488911,0.7663142545,0.6974358974,0.6931818182,0.4957983193,0.7029288703,0.8270893372,0.7217630854,0.7906976744,0.8829787234,0.6382978723,0.5971563981,0.6686390533,0.4896907216,0.6646341463,0.7123287671,0.746529563,0.6956521739,0.512195122,0.2795698925,0.5849056604
8,TCU,3,3,2,0.968061674,0.757146471,0.7459339576,0.7987604812,0.8307692308,0.8920454545,0.7521008403,0.9351464435,0.7377521614,0.8319559229,0.8313953488,0.6489361702,0.885106383,0.8720379147,0.7928994083,0.3298969072,0.8048780488,0.2054794521,0.5444730077,0.8777173913,0.7865853659,0.3333333333,0.6839622642
9,LSU,3,0,3,0.8975770925,0.8191247154,0.9149827501,0.4932555596,0.7333333333,0.6590909091,0.6848739496,0.8221757322,0.7291066282,0.7534435262,0.8779069767,0.9680851064,0.6127659574,0.63507109,0.7514792899,0.7989690722,0.7743902439,0.3835616438,0.6293059126,0.3668478261,0.4329268293,0.623655914,0.6179245283
10,Oklahoma,2,1,3,0.8237885463,0.8578294966,0.9339576146,0.3707619395,0.7641025641,0.5909090909,0.6218487395,0.7384937238,0.7204610951,0.694214876,0.9069767442,0.7624113475,0.7574468085,0.7488151659,0.7337278107,1,0.5304878049,0.2602739726,0.3516709512,0.9755434783,0.5243902439,0.4623655914,0.6273584906
11,UNC,2,2,3,0.8381057269,0.8125474323,0.5805815673,0.7685016405,0.5794871795,0.6761363636,0.4159663866,0.6380753138,0.8040345821,0.6680440771,0.6046511628,0.5531914894,0.5957446809,0.5450236967,0.7810650888,0.4639175258,0.7682926829,0.4246575342,0.6575835476,0.5434782609,0.487804878,0.2419354839,0.6981132075
12,Notre Dame,2,3,3,0.8876651982,0.8593473311,0.9213898472,0.622311338,0.8923076923,1,0.8487394958,0.8326359833,0.855907781,0.8209366391,0.8081395349,0.6773049645,0.8382978723,0.8341232227,0.8639053254,0.7731958763,0.6829268293,0.4246575342,0.6251928021,0.5407608696,0.512195122,0.3655913978,0.7735849057
13,Baylor,1,0,4,0.8381057269,0.7427270428,0.7552981764,0.6999635436,0.7025641026,0.7272727273,0.4285714286,0.7824267782,0.7982708934,0.7603305785,0.7848837209,0.7340425532,0.6893617021,0.654028436,0.7100591716,0.5567010309,0.7682926829,0.4726027397,0.6637532134,0.8070652174,0.6463414634,0.3655913978,0.5424528302
14,Kentucky,1,1,4,0.7995594714,0.8398684543,0.6991128635,0.6157491797,0.7128205128,0.5568181818,0.8949579832,0.730125523,0.6916426513,0.6749311295,0.5872093023,0.475177305,0.7234042553,0.7251184834,0.899408284,0.5463917526,0.743902439,0.05479452055,0.4467866324,0.6983695652,0.5853658537,0.3333333333,0.6603773585
15,Maryland,2,2,4,0.8083700441,0.8186187706,0.8035978314,0.3609187022,0.7846153846,0.7670454545,0.7941176471,0.7887029289,0.4899135447,0.6170798898,0.8313953488,0.8262411348,0.7234042553,0.7772511848,0.5147928994,0.6546391753,0.5914634146,0.2808219178,0.4406169666,0.4864130435,0.3658536585,0.8548387097,0.6132075472
16,Ohio State,1,3,4,0.8513215859,0.8117885151,0.7774765895,0.5716368939,0.7128205128,0.6988636364,0.4915966387,0.7154811715,0.7608069164,0.6983471074,0.3953488372,0.4787234043,0.6638297872,0.644549763,0.5680473373,0.7010309278,0.8231707317,0.7397260274,0.9321336761,0.4456521739,0.512195122,0.4892473118,0.6698113208
17,Ole Miss,2,0,5,0.6982378855,0.7832026309,0.6993592903,0.7644914327,0.6564102564,0.5113636364,0.5630252101,0.7656903766,0.8155619597,0.7575757576,0.8023255814,0.9184397163,0.5829787234,0.5829383886,0.5621301775,0.5051546392,0.756097561,0.801369863,0.836503856,0.7282608696,0.5670731707,0.5806451613,0.4575471698
18,Kansas St,2,1,5,0.8314977974,0.7364027321,0.7873336619,0.7528253737,0.9025641026,0.9602272727,0.6134453782,0.8744769874,0.7982708934,0.8209366391,0.738372093,0.5212765957,0.9021276596,0.8672985782,0.8165680473,0.4845360825,0.7682926829,0.301369863,0.588688946,1,0.8353658537,0.252688172,0.7735849057
