Rank,Name,Games Won,Region,Seed,Win %,SoS,Pts / Gm,Opp Pts / Gm,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA
1,UConn,6,0,1,1.0000,0.6927,1.0000,0.9817,1.0000,0.9724,0.6256,1.0000,1.0000,1.0000,1.0000,0.8745,1.0000,1.0000,1.0000,0.4720,0.8333,0.5743,0.6561,0.6397,0.9311,0.1891,1.0000
2,Notre Dame,5,1,1,0.9499,0.9066,0.7426,0.6372,0.7953,0.8177,0.7538,0.6870,0.6230,0.6352,0.7997,0.6882,0.7137,0.7593,0.6353,0.5280,0.6071,0.4730,0.4567,0.5867,0.5021,0.4748,0.7645
3,Tennessee,2,2,1,0.8597,0.9177,0.5941,0.7927,0.5023,0.7459,0.8564,0.6204,0.7147,0.6340,0.8366,0.8897,0.4798,0.5324,0.6889,0.4000,0.6786,0.6014,0.5495,0.5949,0.4661,0.4832,0.8595
4,S Carolina,2,3,1,0.8639,0.8294,0.6559,0.8110,0.7023,0.6243,0.3538,0.6796,0.7539,0.6888,0.8376,0.8099,0.6411,0.6481,0.7657,0.4200,0.6667,0.4865,0.4835,0.5612,0.4936,0.4874,0.5868
5,Duke,1,0,2,0.7027,0.9131,0.5594,0.6433,0.5907,0.5414,0.4359,0.5407,0.6178,0.5408,0.9077,0.9202,0.5323,0.5509,0.6476,0.4880,0.4405,0.4797,0.3309,0.5131,0.2741,0.5000,0.7603
6,Baylor,3,1,2,0.9097,0.8057,0.7698,0.6768,0.7395,0.6077,0.5692,0.7037,0.6963,0.6783,0.9426,0.8175,0.6129,0.6435,0.6832,0.5600,0.7440,0.4527,0.5146,0.8255,0.7512,0.5126,0.5744
7,W Virginia,1,2,2,0.6276,0.7453,0.4505,0.6433,0.3349,0.3923,0.4667,0.4370,0.5838,0.4604,0.6759,0.6806,0.3105,0.3148,0.5903,0.4120,0.6726,0.4865,0.4854,0.4570,0.3314,0.4034,0.5124
8,Stanford,4,3,2,0.6633,0.7798,0.4752,0.6098,0.4651,0.6906,0.6205,0.5907,0.4162,0.4825,0.6167,0.5779,0.4960,0.5046,0.5968,0.2640,0.8155,0.1892,0.4467,0.1148,0.3209,0.3445,0.7314
9,Texas A&M,3,0,3,0.6329,0.6720,0.4480,0.6646,0.5581,0.4033,0.4718,0.4648,0.5838,0.4779,0.6797,0.6388,0.4194,0.4306,0.6572,0.4120,0.6071,0.3851,0.4079,0.3929,0.3236,0.4286,0.5909
10,Kentucky,2,1,3,0.7322,1.0000,0.6683,0.4207,0.3349,0.2762,0.4615,0.4407,0.5890,0.4650,0.5796,0.6730,0.2903,0.3426,0.4766,0.8000,0.7024,0.7432,0.6853,0.1043,0.1754,0.6597,0.3884
11,Louisville,3,2,3,0.7322,0.8053,0.5965,0.6677,0.5070,0.3812,0.3692,0.5426,0.6492,0.5559,0.7365,0.7186,0.4274,0.4306,0.4723,0.5160,0.7321,0.8108,0.7006,0.6977,0.5619,0.4538,0.4587
12,Penn State,2,3,3,0.1326,0.6892,0.3639,0.3689,0.3628,0.2155,0.2103,0.2722,0.3298,0.2436,0.6323,0.6046,0.2661,0.2269,0.4185,0.5560,0.4702,0.2973,0.2391,0.5044,0.2382,0.2647,0.4876
13,Nebraska,1,0,4,0.5903,0.7461,0.4604,0.5884,0.3628,0.3646,0.7744,0.4222,0.5471,0.4347,0.5967,0.3460,0.3589,0.3519,0.5873,0.4920,0.7500,0.3243,0.4620,0.5592,0.4764,0.2479,0.8430
