Rank,Name,Games Won,Region,Seed,Win %,SoS,Pts / Gm,Opp Pts / Gm,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA
1,S Carolina,4,0,1,1,0.9085384382,0.8503685504,0.9510191664,0.8211009174,0.6350364964,0.5620155039,1,0.9338235294,1,1,1,0.6882591093,0.6979591837,1,0.3502538071,0.8353658537,0.2051282051,0.5112612613,0.5081081081,0.737704918,0.6974358974,0.7587939698
2,Maryland,3,0,2,0.806,0.9978729869,0.7904176904,0.4091877092,0.6880733945,0.7919708029,0.9224806202,0.7757575758,0.4779411765,0.6112565445,0.4127659574,0.494047619,0.6477732794,0.6897959184,0.3214285714,0.6395939086,0.7743902439,0.441025641,0.7820945946,0.6108108108,0.6885245902,0.6256410256,0.7185929648
3,Notre Dame,2,0,3,0.833,0.90185354,0.6872235872,0.716458777,0.7706422018,0.6423357664,0.6201550388,0.7575757576,0.7156862745,0.7264397906,0.7234042553,0.693452381,0.6639676113,0.6897959184,0.7142857143,0.4517766497,0.5975609756,0.2564102564,0.4239864865,0.6567567568,0.5245901639,0.7538461538,0.7889447236
4,UCLA,2,0,4,0.735,0.9644484959,0.5751842752,0.6218436264,0.4724770642,0.602189781,0.8643410853,0.6808080808,0.5539215686,0.5903141361,0.629787234,0.6994047619,0.4574898785,0.4979591837,0.4404761905,0.3248730964,0.756097561,0.3076923077,0.5653153153,0.5945945946,0.5573770492,0.4923076923,0.3115577889
5,Oklahoma,1,0,5,0.828,0.8429048921,0.942014742,0.2120474597,0.752293578,0.7883211679,0.7596899225,0.8121212121,0.4044117647,0.5955497382,0.6936170213,0.619047619,0.7570850202,0.7591836735,0.3333333333,0.8324873096,0.6158536585,0.1487179487,0.3226351351,0.8513513514,0.6721311475,0.5230769231,0.3768844221
6,Creighton,0,0,6,0.733,0.8845335764,0.5970515971,0.6434438698,0.7247706422,0.8175182482,0.7558139535,0.802020202,0.4803921569,0.6295811518,0.5063829787,0.3660714286,0.7854251012,0.7551020408,0.4285714286,0.2030456853,0.7682926829,0.1641025641,0.4898648649,0.7864864865,0.8606557377,0.2307692308,0.648241206
7,Arizona,1,0,7,0.7,0.9070191431,0.6766584767,0.533921509,0.6697247706,0.7262773723,0.519379845,0.7191919192,0.5392156863,0.6073298429,0.4255319149,0.4970238095,0.5951417004,0.5959183673,0.3511904762,0.4720812183,0.8231707317,0.441025641,0.786036036,0.4486486486,0.631147541,0.5128205128,0.4673366834
8,S Florida,1,0,8,0.813,0.6918869644,0.5945945946,0.7009431092,0.7293577982,0.7810218978,0.6937984496,0.7515151515,0.5955882353,0.6583769634,0.7574468085,0.681547619,0.7044534413,0.7183673469,0.6011904762,0.2639593909,0.5548780488,0.1846153846,0.3372747748,0.6702702703,0.4918032787,0.6205128205,0.6934673367
9,Marquette,0,0,9,0.677,0.8362199939,0.4464373464,0.7426224521,0.5412844037,0.6094890511,0.8720930233,0.5656565657,0.6544117647,0.5693717277,0.5659574468,0.5505952381,0.4655870445,0.4775510204,0.5595238095,0.2944162437,0.6768292683,0.3435897436,0.5608108108,0.8135135135,0.6475409836,0.2769230769,0.7688442211
10,W Virginia,0,0,10,0.655,0.7635976907,0.4778869779,0.6504411317,0.4633027523,0.503649635,0.6046511628,0.501010101,0.6593137255,0.530104712,0.314893617,0.3541666667,0.4493927126,0.4612244898,0.4761904762,0.4720812183,0.7134146341,0.5128205128,0.7865990991,0.2972972973,0.3442622951,0.4256410256,0.6432160804
12,Miss St,1,0,11,0.667,0.7386812519,0.6068796069,0.7073319136,0.7293577982,0.7773722628,0.4263565891,0.6606060606,0.7107843137,0.6609947644,0.570212766,0.5535714286,0.6680161943,0.6489795918,0.6845238095,0.4314720812,0.5365853659,0.3538461538,0.4932432432,0.6297297297,0.4590163934,0.5076923077,0.7386934673
13,Portland,0,0,12,0.742,0.6441811,0.5574938575,0.618192881,0.7752293578,0.6861313869,0.6550387597,0.6828282828,0.5269607843,0.5772251309,0.4425531915,0.5208333333,0.7327935223,0.7387755102,0.4166666667,0.3248730964,0.4756097561,0.4051282051,0.5101351351,0.8351351351,0.5245901639,0.6051282051,0.7587939698
14,Sacramento St,0,0,13,0.781,0.3913704041,0.5508599509,0.6902951019,0.8165137615,0.8941605839,0.7054263566,0.8242424242,0.4534313725,0.6295811518,0.6808510638,0.5505952381,0.8906882591,0.8775510204,0.4702380952,0.06598984772,0.493902439,0.09230769231,0.2387387387,0.4459459459,0.368852459,0.5128205128,0.5226130653
15,S Utah,0,0,14,0.7,0.4946824673,0.5398034398,0.4913294798,0.6467889908,0.5766423358,0.7984496124,0.5757575758,0.4803921569,0.4829842932,0.6638297872,0.5446428571,0.5708502024,0.6040816327,0.5952380952,0.421319797,0.4817073171,0,0.1255630631,0.5027027027,0.3278688525,0.5641025641,0.7286432161
16,Holy Cross,0,0,15,0.733,0.1355211182,0.3562653563,0.845147551,0.5917431193,0.6277372263,0.7131782946,0.5414141414,0.6960784314,0.5759162304,0.5234042553,0.4583333333,0.5344129555,0.5510204082,0.6785714286,0.1421319797,0.5426829268,0.3128205128,0.4859234234,0.627027027,0.4098360656,0.4615384615,0.8140703518
17,Norfolk St,0,0,16,0.793,0.06016408387,0.3633906634,1,0.4403669725,0.4051094891,0.4224806202,0.4202020202,1,0.6596858639,0.5319148936,0.6428571429,0.3603238866,0.3795918367,0.875,0.385786802,0.4695121951,0.6974358974,0.7398648649,0.3783783784,0.1967213115,0.5384615385,0.4572864322
18,Stanford,1,1,1,0.848,0.9720449711,0.7277641278,0.7222391238,0.7614678899,0.7554744526,0.7131782946,0.8888888889,0.6421568627,0.7722513089,0.8,0.7291666667,0.7287449393,0.7387755102,0.7738095238,0.2893401015,0.7317073171,0.0358974359,0.3231981982,0.6108108108,0.6639344262,0.5641025641,0.6683417085
19,Iowa,5,1,2,0.813,0.9659677909,1,0.3349558868,1,0.8430656934,0.8100775194,0.9555555556,0.4460784314,0.7107329843,0.6255319149,0.3660714286,1,1,0.369047619,0.6903553299,0.6951219512,0.1538461538,0.4408783784,0.8351351351,0.868852459,0.7538461538,0.5879396985
20,Duke,1,1,3,0.806,0.936797326,0.4004914005,0.9607544874,0.5642201835,0.6423357664,0.6124031008,0.5373737374,0.8823529412,0.6727748691,0.6340425532,0.5863095238,0.4898785425,0.4979591837,0.7261904762,0.2588832487,0.5487804878,0.5333333333,0.6154279279,0.5837837838,0.393442623,0.4205128205,0.6030150754
21,Texas,1,1,4,0.742,0.8638711638,0.6864864865,0.7438393672,0.752293578,0.7299270073,0.503875969,0.7616161616,0.7401960784,0.7421465969,0.6723404255,0.7886904762,0.6234817814,0.6204081633,0.4642857143,0.461928934,0.6341463415,0.6153846154,0.7404279279,0.5297297297,0.5,0.5333333333,0.2613065327
22,Louisville,3,1,5,0.676,0.9176542084,0.6371007371,0.5813811987,0.7201834862,0.7481751825,0.7790697674,0.7151515152,0.5490196078,0.609947644,0.5914893617,0.6160714286,0.6437246964,0.6653061224,0.3928571429,0.4162436548,0.6036585366,0.4,0.5619369369,0.5297297297,0.4672131148,0.5384615385,0.4673366834
23,Colorado,2,1,6,0.742,0.8751139471,0.54004914,0.7222391238,0.6651376147,0.7408759124,0.5348837209,0.6545454545,0.6544117647,0.6269633508,0.5829787234,0.5773809524,0.6072874494,0.6081632653,0.5178571429,0.2944162437,0.5853658537,0.4,0.5427927928,0.6162162162,0.4754098361,0.5179487179,0.6331658291
24,Florida St,0,1,7,0.719,0.8429048921,0.8171990172,0.4679038637,0.628440367,0.6788321168,0.7170542636,0.7434343434,0.6029411765,0.6570680628,0.5063829787,0.4970238095,0.5951417004,0.6367346939,0.6428571429,0.7258883249,0.7926829268,0.2205128205,0.5867117117,0.3756756757,0.5081967213,0.7282051282,0.7487437186
25,Ole Miss,2,1,8,0.742,0.7839562443,0.5511056511,0.7782172193,0.6055045872,0.5583941606,0.4651162791,0.6424242424,0.7426470588,0.6662303665,0.6595744681,0.6785714286,0.5182186235,0.5183673469,0.6845238095,0.3502538071,0.6585365854,0.358974359,0.5501126126,0.3621621622,0.3770491803,0.5076923077,0.3316582915
26,Gonzaga,0,1,9,0.875,0.6174415071,0.6277641278,0.6933373897,0.7431192661,1,0.9263565891,0.8303030303,0.5490196078,0.6845549738,0.6425531915,0.6726190476,0.7570850202,0.7795918367,0.4642857143,0.2182741117,0.6036585366,0.3179487179,0.4881756757,0.5378378378,0.4836065574,0.5333333333,0.6733668342
27,Georgia,1,1,10,0.656,0.8526283804,0.4987714988,0.7283236994,0.6697247706,0.5693430657,0.5813953488,0.5898989899,0.6789215686,0.5981675393,0.5617021277,0.6755952381,0.5344129555,0.5591836735,0.4583333333,0.3654822335,0.506097561,0.5846153846,0.6537162162,0.6189189189,0.4016393443,0.6051282051,0.5577889447
28,Middle Tenn,0,1,11,0.862,0.5378304467,0.6540540541,0.7973836325,0.6559633028,0.6459854015,0.8914728682,0.8444444444,0.7034313725,0.7761780105,0.5361702128,0.4761904762,0.6882591093,0.7551020408,0.5714285714,0.2588832487,0.7926829268,0.441025641,0.7865990991,0.4594594595,0.5819672131,0.8923076923,0.4572864322
29,Drake,0,1,12,0.679,0.5205104831,0.7938574939,0.5114085793,0.8440366972,0.6788321168,0.6201550388,0.7656565657,0.6004901961,0.6701570681,0.7446808511,0.568452381,0.8340080972,0.8285714286,0.5714285714,0.6294416244,0.4695121951,0.2,0.2837837838,1,0.6229508197,0.6512820513,0.743718593
30,E Carolina,0,1,13,0.71,0.4980249164,0.4194103194,0.789777913,0.4128440367,0.3430656934,0.3139534884,0.4141414141,0.8357843137,0.5680628272,0.4085106383,0.6398809524,0.2914979757,0.3183673469,0.5892857143,0.4467005076,0.5487804878,0.758974359,0.9093468468,0.6108108108,0.3278688525,0.6307692308,0.4874371859
31,Iona,0,1,14,0.8,0.1096931024,0.3972972973,0.8664435656,0.8211009174,0.9489051095,0.5465116279,0.5373737374,0.7696078431,0.612565445,0.4170212766,0.3303571429,0.8461538462,0.7918367347,0.7083333333,0.2538071066,0.1768292683,0.4666666667,0.3902027027,0.7108108108,0.3114754098,0.1487179487,0.7638190955
32,SE Louisiana,0,1,15,0.69,0.224855667,0.3872235872,0.8500152114,0.5412844037,0.5620437956,0.4418604651,0.5232323232,0.75,0.5929319372,0.4382978723,0.3988095238,0.4534412955,0.4530612245,0.5238095238,0.2335025381,0.7134146341,0.5435897436,0.7804054054,0.3432432432,0.3852459016,0.4307692308,0.6783919598
33,Sacred Heart,0,1,16,0.552,0.009419629292,0.3828009828,0.7249771828,0.4082568807,0.4781021898,0.3914728682,0.4404040404,0.6960784314,0.5104712042,0.4510638298,0.5238095238,0.3684210526,0.3795918367,0.4821428571,0.421319797,0.5670731707,0.5435897436,0.6891891892,0.2972972973,0.2049180328,0.4615384615,0.5025125628
35,Indiana,1,2,1,0.9,0.9228198116,0.8511056511,0.609978704,0.9495412844,0.8394160584,0.8217054264,0.9232323232,0.6176470588,0.7814136126,0.5829787234,0.4017857143,0.9109311741,0.9224489796,0.5178571429,0.4873096447,0.743902439,0.3076923077,0.6154279279,0.6864864865,0.8196721311,0.6974358974,0.6381909548
36,Utah,2,2,2,0.862,0.8647827408,0.9004914005,0.4995436568,0.8899082569,0.7846715328,0.8914728682,0.9454545455,0.5245098039,0.7460732984,0.6085106383,0.5416666667,0.8987854251,0.9306122449,0.3988095238,0.5431472081,0.6951219512,0.2974358974,0.5551801802,0.7135135135,0.7213114754,0.8153846154,0.608040201
