Rank,Name,Games Won,Region,Seed,Win %,SoS,Pts / Gm,Opp Pts / Gm,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA
46,Penn,,1,12,0.8533,0.3465,0.4764,0.9295,0.4802,0.4803,0.3551,0.5511,0.9167,0.7424,0.7118,0.7000,0.4694,0.4244,0.8220,0.1618,0.8125,0.4320,0.6229,0.6218,0.5782,0.1982,0.8971
47,Belmont,,2,12,0.8482,0.4443,0.7264,0.7046,0.6782,0.6812,0.5761,0.7553,0.6759,0.7926,0.6553,0.5394,0.7796,0.7563,0.7743,0.3431,0.8188,0.2722,0.5617,0.5381,0.6099,0.3739,0.7531
48,Boise State,,3,12,0.8813,0.3101,0.7123,0.6314,0.6782,0.6943,0.6775,0.6303,0.5463,0.6433,0.6754,0.5879,0.6816,0.6681,0.3756,0.4559,0.6875,0.5917,0.6255,0.5063,0.4865,0.3198,0.4815
49,Missouri St,,0,13,0.6950,0.5568,0.6368,0.5610,0.5446,0.4847,0.5326,0.5335,0.6512,0.6156,0.7207,0.6545,0.4449,0.4748,0.4708,0.5784,0.7625,0.5680,0.6975,0.1276,0.3148,0.5991,0.6749
50,Wright St,,1,13,0.8176,0.4024,0.5896,0.6667,0.3614,0.3799,0.5833,0.5352,0.6358,0.6103,0.7143,0.6970,0.3510,0.3529,0.6447,0.3971,0.9563,0.3846,0.6754,0.1683,0.4496,0.3243,0.5432
51,Lamar,,2,13,0.8611,0.3124,0.7547,0.7534,0.4307,0.4585,0.3986,0.5352,0.6790,0.6288,0.5658,0.7030,0.4408,0.4328,0.3171,0.5049,0.8125,0.9467,0.8488,0.2852,0.3938,0.4099,0.1975
52,UC Davis,,3,13,0.7917,0.3221,0.6061,0.7615,0.6287,0.7249,0.6993,0.6127,0.7284,0.7081,0.5769,0.3939,0.6776,0.6891,0.7600,0.3382,0.7063,0.3846,0.5638,0.6776,0.5389,0.4820,0.6749
53,UT Arlington,,0,14,0.7917,0.3773,0.6344,0.6558,0.6980,0.8210,0.6486,0.5986,0.7438,0.7041,0.4753,0.4091,0.6571,0.6807,0.5668,0.4412,0.6813,0.6805,0.7814,0.7085,0.5432,0.6081,0.3169
54,FGCU,,1,14,0.8923,0.2906,0.7382,0.8509,0.5644,0.4934,0.6014,0.6831,0.8364,0.8071,0.3917,0.3091,0.6612,0.6429,0.4332,0.5196,0.8813,0.8225,0.9352,0.4630,0.6040,0.3198,0.4321
55,Maine,,2,14,0.7917,0.4995,0.5165,0.6911,0.5891,0.6245,0.6630,0.6461,0.5648,0.6631,0.4068,0.4273,0.6449,0.6218,0.4567,0.1569,0.8688,0.5917,0.8189,0.7260,0.7396,0.2613,0.7572
56,American,,3,14,0.7083,0.4705,0.4292,0.6721,0.5050,0.6507,0.8333,0.4754,0.6049,0.5522,0.2871,0.1303,0.5347,0.6092,0.5724,0.3382,0.6500,0.4793,0.6445,0.8308,0.4921,0.7432,0.7119
57,VCU,,0,15,0.7608,0.3415,0.3585,0.9512,0.4851,0.5677,0.5906,0.4225,0.9815,0.6737,0.5620,0.4242,0.4327,0.4874,0.9326,0.2010,0.5438,0.5030,0.5350,0.4687,0.2880,0.7162,0.5679
58,Radford,,1,15,0.7917,0.3620,0.4646,0.8103,0.3465,0.4148,0.4203,0.4401,0.8426,0.6275,0.6170,0.5545,0.3306,0.3403,0.8914,0.3529,0.7938,0.3373,0.5597,0.4915,0.4313,0.4730,0.7778
59,New Mex St,,2,15,0.8095,0.2037,0.5731,0.6856,0.4851,0.2882,0.6341,0.4648,0.6698,0.5720,0.6516,0.5939,0.4163,0.4580,0.6388,0.5049,0.6500,0.4734,0.5278,0.1630,0.2512,0.5856,0.5720
60,Idaho,,3,15,0.6517,0.4925,0.7618,0.2900,0.5545,0.8079,0.8804,0.7042,0.1790,0.5416,0.4591,0.4242,0.6816,0.6723,0.3241,0.5392,0.9125,0.1479,0.5412,0.3031,0.5654,0.2523,0.5679
61,Rob. Morris,,0,16,0.6666,0.1878,0.3868,0.8537,0.3119,0.5590,0.4964,0.3908,0.8488,0.5931,0.5373,0.5909,0.3673,0.3613,0.6071,0.2892,0.6000,0.8166,0.7325,0.4542,0.2901,0.3378,0.4239
62,Southern,,1,16,0.5934,0.2302,0.3726,0.8103,0.3960,0.4192,0.3080,0.3169,0.5278,0.4003,0.6097,0.6455,0.3755,0.3739,0.3436,0.2598,0.4125,0.7219,0.4506,0.4542,0.2094,0.4910,0.0823
63,NC A&T,,2,16,0.6160,0.1658,0.2995,0.9377,0.2525,0.2707,0.0942,0.2289,0.9630,0.5205,0.7008,0.6879,0.2245,0.2059,0.7487,0.3725,0.4250,0.8047,0.5458,0.3962,0.1644,0.4414,0.5885
64,Mercer,,3,16,0.7608,0.2532,0.5307,0.5962,0.5792,0.5590,0.6522,0.5634,0.5309,0.5865,0.4430,0.4848,0.4939,0.4706,0.5042,0.3284,0.9250,0.4615,0.7675,0.3874,0.6281,0.2162,0.4527
