Rank,Name,Games Won,Region,Seed,Win %,SoS,Pts / Gm,Opp Pts / Gm,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA
1,UConn,4,0,1,1.0000,0.9743,0.9426,0.7401,1.0000,1.0000,0.8866,1.0000,0.9248,1.0000,0.6584,0.6364,1.0000,1.0000,0.9024,0.4979,0.8457,0.5294,0.7642,1.0000,1.0000,0.5053,1.0000
2,Baylor,3,1,1,0.9166,0.7849,1.0000,0.7054,0.8705,0.9882,0.5061,0.9241,1.0000,0.9795,1.0000,1.0000,0.7905,0.7609,0.9796,0.6862,0.8457,0.3203,0.5786,0.7578,0.7810,0.5532,0.6255
3,Notre Dame,3,2,1,0.9166,1.0000,0.7751,0.5569,0.8527,0.9408,0.6721,0.8159,0.6144,0.7484,0.6661,0.6145,0.7945,0.7652,0.5768,0.5063,0.8086,0.4641,0.6768,0.6545,0.6989,0.3989,0.7613
4,S Carolina,6,3,1,0.9166,0.9626,0.6842,0.6931,0.7679,0.5740,0.6356,0.7780,0.7774,0.7895,0.6410,0.6873,0.7036,0.7217,0.8353,0.4268,0.7840,0.3660,0.6144,0.4131,0.4874,0.8085,0.7407
5,Duke,1,0,2,0.8464,0.8349,0.6220,0.7277,0.7634,0.8639,0.7692,0.6679,0.8966,0.7638,0.5753,0.5964,0.7115,0.7174,0.8907,0.4937,0.5741,0.5621,0.6248,0.5216,0.3768,0.5798,0.7901
6,Miss St,5,1,2,0.8960,0.8420,0.6746,0.6733,0.6339,0.6509,0.6923,0.7249,0.7618,0.7471,0.6485,0.7891,0.5850,0.5957,0.5839,0.4351,0.8210,0.7190,0.8030,0.4026,0.4808,0.6489,0.3909
7,Stanford,4,2,2,0.8655,0.8939,0.5742,0.7005,0.6339,0.7101,0.5344,0.6584,0.7806,0.7099,0.6717,0.6764,0.6206,0.5870,0.8456,0.3975,0.7160,0.2745,0.4980,0.5559,0.4615,0.4255,0.7572
8,Oregon St,2,3,2,0.8850,0.8898,0.4282,0.7525,0.5893,0.7456,0.4696,0.5731,0.7994,0.6598,0.7446,0.6255,0.5968,0.5478,0.9448,0.2887,0.6049,0.0458,0.3075,0.7942,0.4432,0.3245,0.8354
9,Maryland,2,0,3,0.9397,0.5564,0.9952,0.5025,0.9241,0.8166,0.5951,0.9146,0.6771,0.8408,0.8581,0.9782,0.8577,0.8348,0.6114,0.7071,0.7407,0.5229,0.6508,0.5650,0.5944,0.5266,0.7202
10,Washington,2,1,3,0.8516,0.7997,0.8923,0.5149,0.7455,0.8698,0.7854,0.8975,0.5893,0.7933,0.6079,0.3855,0.8379,0.8522,0.7199,0.5774,0.9630,0.1307,0.5904,0.1443,0.5547,0.6755,0.8601
11,Texas,2,2,3,0.7557,0.9088,0.6292,0.5619,0.6518,0.6805,0.4453,0.6110,0.7147,0.6508,0.7740,0.8691,0.5494,0.4870,0.6679,0.5858,0.6914,0.4510,0.5712,0.2150,0.3244,0.2394,0.4115
12,Florida St,3,3,3,0.8222,0.8540,0.7488,0.6559,0.7054,0.6864,0.6113,0.7306,0.8401,0.7831,0.7324,0.8327,0.6364,0.6261,0.6238,0.5690,0.7346,0.7582,0.7770,0.3547,0.4114,0.5798,0.6132
13,UCLA,2,0,4,0.7557,0.8952,0.6292,0.5223,0.4911,0.4142,0.6113,0.6338,0.5893,0.6149,0.5245,0.6109,0.4783,0.4652,0.5758,0.6192,0.9198,0.4967,0.7731,0.4575,0.5647,0.4734,0.5597
14,Louisville,2,1,4,0.8055,0.8878,0.6435,0.5891,0.6384,0.6805,0.5425,0.6793,0.6583,0.6739,0.6191,0.6982,0.6166,0.5652,0.6505,0.4728,0.7346,0.4837,0.6287,0.5756,0.4952,0.2713,0.5350
15,Kentucky,1,2,4,0.6852,0.9944,0.5550,0.5272,0.5536,0.4201,0.7692,0.6167,0.4765,0.5571,0.4721,0.4764,0.5099,0.5261,0.5170,0.4017,0.8580,0.3856,0.6606,0.3050,0.4452,0.6117,0.7243
16,Miami (Fla.),1,3,4,0.7475,0.8332,0.5837,0.5347,0.6205,0.5976,0.4656,0.5787,0.5956,0.5802,0.5208,0.6327,0.5968,0.5565,0.5797,0.5397,0.6173,0.5229,0.5909,0.3696,0.3090,0.4043,0.5679
17,Texas A&M,1,0,5,0.6651,0.8949,0.5024,0.5371,0.5804,0.7870,0.8421,0.6034,0.4138,0.5225,0.6229,0.7164,0.5020,0.5348,0.5000,0.3096,0.6914,0.3137,0.4975,0.6577,0.4492,0.6702,0.7531
18,Tennessee,1,1,5,0.6423,0.9303,0.6124,0.4728,0.5670,0.6095,0.7490,0.5901,0.5266,0.5597,0.5193,0.4618,0.5099,0.5348,0.7140,0.5649,0.7716,0.1503,0.4779,0.4683,0.4354,0.6862,0.7901
19,Ohio State,2,2,5,0.8222,0.6652,0.9091,0.3292,0.6741,0.6746,0.5385,0.7343,0.5141,0.6521,0.5759,0.5709,0.6719,0.6478,0.5770,0.8410,0.8333,0.3137,0.6031,0.3526,0.4901,0.4947,0.5226
20,Marquette,0,3,5,0.7786,0.6833,0.7440,0.3614,0.7009,0.6272,0.7004,0.7400,0.3417,0.5854,0.5730,0.4800,0.6838,0.6565,0.4590,0.5732,0.8765,0.1830,0.5521,0.4886,0.6332,0.3777,0.8107
21,W Virginia,1,0,6,0.7047,0.6908,0.6292,0.5520,0.6205,0.7219,0.6923,0.5958,0.6708,0.6226,0.6078,0.5382,0.6245,0.6174,0.6796,0.5816,0.5864,0.4183,0.5079,0.5833,0.3619,0.5266,0.5514
22,Oklahoma,1,1,6,0.7163,0.8163,0.6292,0.3762,0.5000,0.6272,0.7126,0.4972,0.5329,0.4994,0.3755,0.3200,0.5020,0.5087,0.5232,0.7406,0.6481,0.4771,0.6085,0.2859,0.2611,0.5798,0.6049
23,NC State,1,2,6,0.7387,0.6635,0.5622,0.6411,0.5223,0.5621,0.6073,0.6091,0.6959,0.6418,0.5305,0.5018,0.5692,0.5696,0.6930,0.4310,0.7407,0.4510,0.6238,0.5969,0.4388,0.6277,0.5761
24,Missouri,1,3,6,0.6852,0.8260,0.4450,0.5495,0.5804,0.6805,0.9798,0.5806,0.4201,0.5096,0.5927,0.4800,0.6364,0.6913,0.5822,0.3054,0.4691,0.1830,0.3256,0.5977,0.2728,0.7766,0.5103
25,Temple,0,0,7,0.7708,0.7190,0.5311,0.5965,0.4107,0.5325,0.6194,0.5541,0.6614,0.5905,0.5353,0.6764,0.4308,0.4043,0.7086,0.4895,0.7963,0.4248,0.6419,0.5362,0.4381,0.3989,0.7119
26,DePaul,1,1,7,0.7928,0.7503,0.7895,0.4233,0.5982,0.5680,0.5061,0.6945,0.5486,0.6393,0.5956,0.6218,0.6482,0.5783,0.4826,0.7071,0.8210,0.4967,0.6916,0.7377,0.6529,0.1223,0.5309
27,Kansas St,1,2,7,0.6953,0.8397,0.4737,0.5545,0.5223,0.5740,0.4777,0.5161,0.5737,0.5289,0.5128,0.5127,0.5178,0.5043,0.6142,0.4603,0.6235,0.4052,0.5393,0.6639,0.3709,0.6064,0.7490
28,Creighton,1,3,7,0.7708,0.6619,0.4330,0.6683,0.4911,0.6331,0.7409,0.5731,0.5831,0.5712,0.5336,0.3164,0.5534,0.5217,0.7196,0.2636,0.8148,0.1307,0.4872,0.8365,0.6306,0.3032,0.6914
29,Syracuse,1,0,8,0.6852,0.7539,0.7392,0.4307,0.4286,0.4379,0.7733,0.6622,0.5172,0.6046,0.5269,0.7564,0.4941,0.4870,0.3110,0.6736,0.8395,0.7908,0.8777,0.4257,0.4449,0.4468,0.5267
30,LSU,0,1,8,0.6423,0.8078,0.3756,0.6411,0.5357,0.0355,0.4211,0.4478,0.6207,0.5019,0.4291,0.6255,0.3676,0.3522,0.4003,0.3682,0.6852,0.8627,0.8080,0.2254,0.2637,0.5904,0.5226
31,Green Bay,0,2,8,0.8409,0.5302,0.5191,0.8193,0.6741,0.6686,0.4980,0.7135,0.8589,0.7792,0.6995,0.6764,0.7194,0.6565,0.6281,0.2510,0.7099,0.7778,0.7559,0.6452,0.5246,0.2128,0.7325
32,Arizona St,1,3,8,0.6229,0.8468,0.3852,0.6708,0.5179,0.4734,0.4939,0.5199,0.6207,0.5507,0.6529,0.7200,0.4427,0.4304,0.5385,0.2678,0.6543,0.5229,0.5815,0.6311,0.3829,0.5585,0.6667
33,Iowa St,0,0,9,0.5967,0.7753,0.6244,0.3960,0.4866,0.6213,0.9676,0.6395,0.3229,0.5096,0.4781,0.4036,0.5375,0.5609,0.4524,0.5105,0.8519,0.2222,0.5639,0.5946,0.5491,0.5691,0.5556
34,California,1,1,9,0.6045,0.7637,0.5024,0.4901,0.6786,0.4379,0.4332,0.4991,0.4984,0.4865,0.5285,0.5018,0.6166,0.5696,0.6516,0.5105,0.4753,0.2418,0.3472,0.6563,0.3346,0.3777,0.6996
