First 4,North Carolina St.,Albany (NY),Tennessee,Cal Poly,,,,,,,,,,,
0 (South),Florida,Pittsburgh,Stephen F. Austin,UCLA,Dayton,Syracuse,Stanford,Kansas,Florida,UCLA,Dayton,Stanford,Florida,Dayton,Florida
1 (East),Virginia,Memphis,Harvard,Michigan St.,North Carolina,Iowa St.,UConn,Villanova,Virginia,Michigan St.,Iowa St.,UConn,Michigan St.,UConn,UConn
2 (West),Arizona,Gonzaga,North Dakota St.,San Diego St.,Baylor,Creighton,Oregon,Wisconsin,Arizona,San Diego St.,Baylor,Wisconsin,Arizona,Wisconsin,Wisconsin
3 (Midwest),Wichita St.,Kentucky,Saint Louis,Louisville,Tennessee,Mercer,Texas,Michigan,Kentucky,Louisville,Tennessee,Michigan,Kentucky,Michigan,Kentucky
Final Four Winners,UConn,Kentucky,UConn,,,,,,,,,,,,
