First 4,UTSA,Clemson,UNC Asheville,VCU,,,,,,,,,,,
0 (SouthEast),Pittsburgh,Butler,Kansas St.,Wisconsin,Gonzaga,BYU,UCLA,Florida,Butler,Wisconsin,BYU,Florida,Butler,Florida,Butler
1 (SouthWest),Kansas,Illinois,Richmond,Morehead St.,VCU,Purdue,Florida St.,Notre Dame,Kansas,Richmond,VCU,Florida St.,Kansas,VCU,VCU
2 (West),Duke,Michigan,Arizona,Texas,Cincinnati,UConn,Temple,San Diego St.,Duke,Arizona,UConn,San Diego St.,Arizona,UConn,UConn
3 (East),Ohio St.,George Mason,West Virginia,Kentucky,Marquette,Syracuse,Washington,North Carolina,Ohio St.,Kentucky,Marquette,North Carolina,Kentucky,North Carolina,Kentucky
Final Four Winners,UConn,Butler,Butler,,,,,,,,,,,,
