Rank,Name,Region,Seed,Win Loss %,Scoring Offense,Scoring Defense,Scoring Margin,FG %,FG % Defense,3pt FG / Game,3pt FG %,3pt FG Defense,Free Throw %,Rebound Margin,Assists / Game,Assist Turnover Ratio,Blocked Shots / Game,Steals / Game,Turnovers / Game,Turnover Margin,Person Fouls / Game
43,Texas,1,11,60.6,73.1,66.8,6.2,43.6,41.4,5.8,32.7,35.3,73.1,3,12.4,0.98,3.6,6.8,12.6,1.1,19.5
44,Colorado,0,11,67.6,67.6,62.5,5.1,44.5,40.6,5.5,34.3,32.3,69.4,3.1,11.7,0.92,3.3,5.9,12.7,-0.2,17.1
45,California,3,12,72.7,71.7,61.8,9.9,47.9,41.1,4.6,,32.7,74.6,4.4,16.1,1.31,3.2,4.8,12.2,0.7,14.4
46,Harvard,1,12,86.7,65.4,54.8,10.6,46.7,40.6,5.9,35.6,33.4,74.6,4.5,12.9,1.05,4.6,6,12.3,0.1,15.1
47,S. Fla.,3,12,60.6,59.2,56.9,2.4,43.6,38.8,4.7,,29.7,70.5,3.7,11.8,0.87,3.8,5.5,13.7,-2.5,15.3
48,BYU,2,14,75.8,78.2,66.6,11.6,46.8,41.2,6.6,34.2,31.1,70.5,4.3,17,1.29,4.3,8.5,13.2,2.5,18.2
49,VCU,0,12,82.4,68.4,59.8,8.6,41,42.3,7.4,33.7,31.8,68.9,-1.5,12.2,1.07,3.7,10.7,11.4,6.5,18.1
50,Iona,2,14,78.1,83.3,72.6,10.7,50.4,45,7.8,39.3,35.4,71.6,0.9,19.3,1.56,2.1,7.2,12.4,3.6,16.9
51,Long Beach St.,2,12,75.8,74,63.6,10.4,46.9,41.9,6.6,36,33.6,67.1,3,14,1.09,2.7,7.2,12.9,2.2,15.4
52,Ohio,3,13,79.4,70.7,62.4,8.3,42.9,41.2,7.4,33.8,29.6,68.1,0.1,13.2,0.99,2.9,9.4,13.3,4.4,19.7
53,Davidson,2,13,78.1,78.4,67.8,10.6,44.9,42.7,7.8,33.9,34.3,76.4,6.7,13.8,1.17,3.4,5.6,11.8,0.7,20.3
54,New Mexico St.,0,13,74.3,78.5,68,10.5,47.2,42.5,4.6,,31.9,66.7,8.7,14,0.95,4.2,6.8,14.7,-0.1,17.6
55,Montana,1,13,80.6,70.6,61.7,9,46.5,40.3,6.2,37.3,32.4,71.7,-0.4,13.8,1.09,3.6,7.2,12.6,2.5,18.4
