Rank,Name,Games Won,Region,Seed,S.o.S.,Win Pct.,Scoring Margin,Scoring Off.,Scoring Def.,FG Pct.,FG Pct. Def.,3pt FG Pct.,3pt FG Pct. Def.,Free Throw Pct.,FT Att. / Game,Rebound Margin,Off. Reb. / Game,Def. Reb. / Game,Assists /  Turnover,Assists / Game,Turnover Margin,Turnovers / Game,Blocks / Game,Steals / Game,Fouls / Game
,Lehigh,0,3,16,0.0000,0.3829,0.2951,0.6165,0.3319,0.5489,0.4419,0.8101,0.2410,0.5858,0.5917,0.5673,0.2059,0.7937,0.4674,0.4536,0.3302,0.4938,0.0962,0.2769,0.5444
,Ark.-Pine Bluff,0,0,16,0.0707,0.0000,0.0000,0.0971,0.5574,0.2105,0.6163,0.2737,0.4337,0.2722,0.6914,0.8596,0.5588,0.6825,0.0109,0.1856,0.0000,0.0000,0.2692,0.3692,0.0000
,Morgan St.,0,1,15,0.1419,0.5341,0.3716,0.6990,0.3191,0.3759,0.4302,0.4637,0.4458,0.5089,0.7537,0.7135,0.9706,0.5714,0.2283,0.2062,0.3491,0.4321,0.3846,0.3385,0.1889
,Cornell,2,1,12,0.1608,0.8293,0.6831,0.6262,0.6213,0.7293,0.5465,1.0000,0.1807,0.6627,0.0262,0.6667,0.2353,0.3810,0.6630,0.5979,0.4151,0.5802,0.3269,0.4308,0.5667
,Montana,0,1,14,0.1867,0.4366,0.4973,0.3689,0.7064,0.7744,0.5000,0.8324,0.0000,0.6450,0.2428,0.6257,0.0000,0.3968,0.2935,0.1546,0.3208,0.5926,0.2692,0.3231,0.5667
,Oakland,0,2,14,0.1981,0.5707,0.3279,0.6990,0.2894,0.5113,0.1163,0.3966,0.2651,0.5976,0.6257,0.7778,0.7206,0.5714,0.2609,0.2680,0.2075,0.3951,0.5577,0.3538,0.5444
,Robert Morris,0,0,15,0.2078,0.3537,0.1694,0.2961,0.5149,0.4060,0.5930,0.6145,0.4940,0.2604,0.6042,0.5556,0.4412,0.3175,0.1304,0.1856,0.3585,0.2840,0.0577,0.4923,0.1556
,East Tenn. St.,0,1,16,0.2196,0.1390,0.1639,0.3301,0.4809,0.3910,0.5233,0.3073,0.4458,0.2722,0.4966,0.5263,0.5588,0.3810,0.0000,0.0206,0.4434,0.2593,0.2500,0.6000,0.4111
,Vermont,0,2,16,0.2520,0.4976,0.3607,0.3981,0.5702,0.4436,0.7326,0.3687,0.5904,0.4260,0.7743,0.6550,0.5147,0.5714,0.1413,0.1443,0.2264,0.3580,0.4038,0.3692,0.4889
,Wofford,0,1,13,0.2795,0.5707,0.4645,0.3398,0.7064,0.4361,0.4884,0.5251,0.6627,0.3254,0.5729,0.6374,0.3971,0.4286,0.4457,0.2990,0.4906,0.6296,0.0192,0.4154,0.5556
