Rank,Name,Games Won,Region,Seed,Win %,SoS,Pts / Game,Opp Pts / Game,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA
4,Ohio State,2,0,1,0.9977477477,0.8595217763,0.6542893726,0.8992325659,0.8992805755,1,0.5165289256,1,0.8320895522,1,0.7108433735,0.6181102362,0.9578313253,0.9448275862,0.6229508197,0.320754717,0.8017241379,0.6972477064,0.8283185841,0.5816326531,0.8803418803,0.4798387097,1
3,Duke,2,1,1,0.9369369369,0.8569598634,0.7743277849,0.7317317317,0.7338129496,0.6689189189,0.7314049587,0.868852459,0.8544776119,0.9270833333,0.5963855422,0.594488189,0.8012048193,0.8551724138,0.9098360656,0.608490566,0.6896551724,0.4678899083,0.6398230088,0.3503401361,0.547008547,0.5685483871,0.8600682594
2,Kansas,3,2,1,1,0.8270708796,0.7829705506,0.7323990657,1,0.722972973,0.4256198347,0.8907103825,0.8470149254,0.9375,0.8253012048,0.657480315,1,0.9724137931,0.7950819672,0.5849056604,0.5517241379,0.4403669725,0.4707964602,0.6768707483,0.6752136752,0.5080645161,0.7235494881
1,Pitt,1,3,1,0.8907657658,0.8368915457,0.5518565941,0.8561895229,0.7625899281,0.8108108108,0.3925619835,0.8989071038,0.7164179104,0.8819444444,0.9518072289,0.9015748031,0.7530120482,0.7379310345,0.8114754098,0.2830188679,0.6637931034,0.2110091743,0.3557522124,0.9047619048,0.8205128205,0.5967741935,0.7747440273
8,UNC,3,0,2,0.8457207207,0.9350982067,0.6661331626,0.5955955956,0.5899280576,0.3581081081,0.3966942149,0.631147541,0.7686567164,0.7361111111,0.7228915663,0.6732283465,0.5301204819,0.4965517241,0.8032786885,0.7216981132,0.6379310345,0.3669724771,0.4840707965,0.4863945578,0.5299145299,0.4596774194,0.9624573379
7,SDSU,2,1,2,0.9977477477,0.7732707088,0.4862355954,0.9139139139,0.6762589928,0.5,0.5,0.781420765,0.8507462687,0.8697916667,0.7771084337,0.7165354331,0.6686746988,0.6275862069,0.868852459,0.3018867925,0.7413793103,0.3669724771,0.5442477876,0.3333333333,0.5982905983,0.2903225806,0.8566552901
6,Notre Dame,1,2,2,0.856981982,0.8616567037,0.5934699104,0.7050383717,0.654676259,0.75,0.6115702479,0.8715846995,0.5485074627,0.7864583333,0.6746987952,0.5275590551,0.7891566265,0.8482758621,0.7213114754,0.3301886792,0.7413793103,0.08256880734,0.3716814159,0.8911564626,0.8632478632,0.75,0.8976109215
5,Florida,3,3,2,0.8457207207,0.8249359522,0.4923175416,0.7757757758,0.690647482,0.5202702703,0.3842975207,0.7349726776,0.6791044776,0.7604166667,0.7228915663,0.6771653543,0.7048192771,0.6551724138,0.7049180328,0.3113207547,0.6120689655,0.3394495413,0.4265486726,0.4489795918,0.5213675214,0.3951612903,0.8805460751
12,Syracuse,1,0,3,0.8310810811,0.877028181,0.5336107554,0.7781114448,0.7410071942,0.5337837838,0.367768595,0.7349726776,0.7425373134,0.7899305556,0.6325301205,0.657480315,0.7469879518,0.6965517241,0.8114754098,0.4103773585,0.6034482759,0.4587155963,0.5495575221,0.6768707483,0.6581196581,0.3951612903,0.843003413
11,UConn,6,1,3,0.8412162162,0.9474807857,0.5016005122,0.7267267267,0.4676258993,0.3648648649,0.7727272727,0.7049180328,0.6455223881,0.7256944444,0.656626506,0.7362204724,0.4698795181,0.5103448276,0.893442623,0.3679245283,0.7327586207,0.1651376147,0.4185840708,0.343537415,0.5213675214,0.4717741935,0.8976109215
