Rank,Name,Games Won,Region,Seed,Win/Loss %,SOS,Points / Gm,Opp Points / Gm,FG %,3 Pt FG %,FT %,Offense Rating,Opp. Offense Rating,Adj. Scoring Margin,True Rebound %,Offensive Rebound %,Effective FG %,True Shooting %,Opp. True Shooting %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover Ratio,Free Throws / Feild Goal Attempt,Opp. Free Throws / Feild Goal Attempt
51,Vermont,,0,13,0.8573085847,0.3777009507,0.5514570269,0.7041695784,0.8535031847,0.8129032258,0.7175925926,0.7971830986,0.5813253012,0.7663551402,0.7516778523,0.3923444976,0.7900552486,0.8,0.5486111111,0.1983122363,0.6470588235,0.2578125,0.4770959378,0.5239520958,0.5508474576,0.925,0.83
52,S Dakota St,,1,13,0.8573085847,0.4974070873,0.9417189229,0.475658048,0.7324840764,0.8193548387,0.7916666667,0.861971831,0.4969879518,0.7570093458,0.6577181208,0.3110047847,0.7513812155,0.7611111111,0.5694444444,0.4936708861,0.9647058824,0.1015625,0.5350043215,0.3682634731,0.6610169492,0.7,0.89
53,Buffalo,,2,13,0.7726218097,0.5030250648,0.9188491332,0.4225483345,0.7261146497,0.5677419355,0.462962963,0.7295774648,0.5060240964,0.6747663551,0.5906040268,0.5885167464,0.6850828729,0.6222222222,0.4930555556,0.5949367089,0.6823529412,0.3671875,0.5885911841,0.6167664671,0.6355932203,0.3375,0.285
54,Murray St,,3,13,0.8828306265,0.3167675022,0.732571007,0.6738877242,0.8280254777,0.6516129032,0.6527777778,0.8563380282,0.6596385542,0.8542056075,0.7785234899,0.6889952153,0.7679558011,0.7555555556,0.7083333333,0.3291139241,0.6470588235,0.34375,0.5531547105,0.5748502994,0.5847457627,0.76875,0.65
55,Charleston,,0,14,0.8120649652,0.3487467589,0.5573589082,0.6142557652,0.6305732484,0.5225806452,0.7638888889,0.7267605634,0.4819277108,0.6579439252,0.4429530201,0.3397129187,0.5580110497,0.6,0.5138888889,0.223628692,0.9294117647,0.2734375,0.6637856525,0.2784431138,0.5169491525,0.7875,0.545
56,UNC Greens.,,1,14,0.8201856148,0.327139153,0.5418664699,0.7409736781,0.5859872611,0.5548387097,0.5,0.6197183099,0.8072289157,0.7887850467,0.8322147651,0.7320574163,0.6022099448,0.5388888889,0.5763888889,0.2827004219,0.4117647059,0.6640625,0.6188418323,0.5748502994,0.406779661,0.18125,0.31
57,Bucknell,,2,14,0.7459396752,0.363872083,0.7738841756,0.4968553459,0.6878980892,0.3806451613,0.587962963,0.6422535211,0.5753012048,0.6598130841,0.5570469799,0.3923444976,0.5966850829,0.6111111111,0.6180555556,0.5232067511,0.6588235294,0.265625,0.4935177182,0.4880239521,0.4745762712,0.89375,0.52
58,N Kentucky,,3,14,0.7726218097,0.3180639585,0.6827738842,0.6950850221,0.7834394904,0.464516129,0.625,0.7014084507,0.7861445783,0.8299065421,0.6577181208,0.4832535885,0.7016574586,0.6666666667,0.7638888889,0.4219409283,0.6235294118,0.484375,0.6663785653,0.6706586826,0.6440677966,0.40625,0.71
59,Penn,,0,15,0.7923433875,0.3547968885,0.5883437846,0.6314931283,0.5987261146,0.3677419355,0.2638888889,0.5211267606,0.7439759036,0.6841121495,0.5838926174,0.2822966507,0.5580110497,0.4833333333,0.75,0.4050632911,0.7058823529,0.3125,0.5617977528,0.6586826347,0.6186440678,0.34375,0.645
60,UC Irvine,,1,15,0.5208816705,0.5190146932,0.3799336038,0.6636384812,0.5159235669,0.3870967742,0.4861111111,0.4366197183,0.6656626506,0.5794392523,0.8456375839,0.7320574163,0.3812154696,0.35,0.8125,0.3544303797,0.4,0.140625,0.2039757995,0.3862275449,0.2796610169,0.25625,0.335
61,Rider,,2,15,0.7726218097,0.4023336214,0.8436001475,0.3976240391,0.7006369427,0.5741935484,0.06481481481,0.6704225352,0.4487951807,0.6,0.6308724832,0.7033492823,0.591160221,0.5,0.3472222222,0.6033755274,0.6823529412,0.4765625,0.6750216076,0.4161676647,0.4491525424,0.6,0.465
62,Montana,,3,15,0.7923433875,0.3885047537,0.6558465511,0.6198462614,0.6815286624,0.3548387097,0.5277777778,0.6309859155,0.686746988,0.7214953271,0.6711409396,0.6985645933,0.4917127072,0.5,0.5277777778,0.417721519,0.6470588235,0.640625,0.7899740709,0.3353293413,0.3813559322,0.75,0.1
63,Hampton,,0,16,0.5406032483,0.1171132239,0.7329398746,0.4612159329,0.5923566879,0.2322580645,0.8611111111,0.5521126761,0.563253012,0.5925233645,0.5973154362,0.5167464115,0.4033149171,0.4666666667,0.6597222222,0.5991561181,0.6470588235,0.265625,0.4961106309,0.5449101796,0.5,0.70625,0.53
64,Nicholls St,,0,16,0.7343387471,0.2623163354,0.8915529325,0.4565571861,0.7834394904,0.5161290323,0.5555555556,0.6309859155,0.6355421687,0.6897196262,0.5570469799,0.5550239234,0.6740331492,0.6444444444,0.5,0.7088607595,0.3882352941,0.640625,0.68366465,0.4670658683,0.3728813559,0.55,0.29
65,UNC Ash.,,1,16,0.6705336427,0.3470181504,0.5610475839,0.5154903331,0.7324840764,0.7290322581,0.6851851852,0.5464788732,0.4819277108,0.538317757,0.5838926174,0.3540669856,0.6519337017,0.6333333333,0.4166666667,0.4050632911,0.3529411765,0.359375,0.4070872947,0.6586826347,0.4491525424,0.46875,0.56
66,Pine Bluff,,2,16,0.3341067285,0.1633535004,0.1707856879,0.5464709993,0.4649681529,0.335483871,0.3425925926,0.214084507,0.4307228916,0.2859813084,0.03355704698,0.2248803828,0.3701657459,0.35,0.4791666667,0.3206751055,0.1764705882,0.515625,0.5237683665,0.4880239521,0.2033898305,0.5,0.19
67,Wagner,,2,16,0.7726218097,0.2091616249,0.5658428624,0.629862567,0.4904458599,0.5225806452,0.5231481481,0.6028169014,0.6385542169,0.6728971963,0.7382550336,0.8277511962,0.4475138122,0.4555555556,0.625,0.3797468354,0.4941176471,0.46875,0.5306828003,0.5269461078,0.3559322034,0.6375,0.12
68,FGCU,,3,16,0.7204176334,0.2705272256,0.7790483217,0.573025856,0.8853503185,0.4774193548,0.6805555556,0.6957746479,0.6656626506,0.7514018692,0.7785234899,0.6124401914,0.7127071823,0.6944444444,0.6805555556,0.5232067511,0.4588235294,0.375,0.4719101124,0.4760479042,0.4406779661,0.51875,0.69
