Rank,Name,Region,Seed,Win Loss Pct,Scoring Offense,Scoring Defense,Scoring Margin,FG Pct,FG Pct Defense,3pt FG per Game,3pt FG Pct,3pt FG Defense,Free Throw Pct,Rebound Margin,Assists per Game,Assist Turnover Ratio,Blocked Shots per Game,Steals per Game,Turnovers per Game,Turnover Margin,Person Fouls per Game
1,Duke,2,1,88.2,81.1,64.3,16.8,46.9,40,8,37.5,31.6,75,2.7,14.4,1.18,4.4,7.5,12.2,2.8,17.9
2,Kansas,1,1,94.1,82.4,65.2,17.1,51.4,39.7,7.3,38.7,29.4,68.1,7.8,17.9,1.33,4.1,7.9,13.5,0.9,17.9
3,Ohio St.,3,1,94.1,77.1,59.8,17.3,49.4,42.5,7.4,41.3,33.9,70.5,4.8,15.6,1.53,3.3,7.2,10.2,4.9,14.3
4,Pittsburgh,0,1,84.4,74.1,61,13.1,47.4,39.8,5.9,39,32.6,67.2,10.4,17.4,1.49,3.4,4.8,11.7,-0.3,18
5,Florida,0,2,78.8,71.5,63.1,8.5,46.2,42.5,6.2,35.6,31.9,66.7,6.1,13.7,1.1,3.5,5.9,12.4,0.1,14.4
6,North Carolina,3,2,78.8,76.7,67.8,8.9,44.9,40.4,5.2,33.3,32.7,66.3,6.5,15.3,1.13,5.3,6.1,13.5,0.7,16.2
7,Notre Dame,1,2,81.3,76,65.6,10.4,46.6,40.9,8.1,39.2,35,72.5,4.5,16.7,1.56,3.7,4.6,10.7,-0.3,15
8,San Diego St.,2,2,94.1,72.2,58.9,13.2,46.7,39.6,5.9,34.4,30.9,69.8,6.7,13.6,1.23,4.6,6.2,11.1,1.6,14.9
9,BYU,0,3,88.2,81.6,67.5,14.1,45.2,41.3,8.3,36.2,33.3,75.9,3.4,14.5,1.32,4.2,7.9,11,3.4,17.3
10,Purdue,1,3,78.1,72.7,61.4,11.2,44.8,41.3,6.9,36.7,32.8,71.2,1.5,15.8,1.53,4.1,6.3,10.3,4,18
11,Syracuse,3,3,78.8,73.6,63.3,10.3,46.9,39.3,6.4,35.2,31.2,65.9,3.7,16.3,1.35,6.8,8.8,12.1,1.9,15.4
12,UConn,2,3,74.3,73.4,66.4,7,43.3,40.1,5.8,33.2,33.5,75.5,4.1,13.1,1.12,5.6,6.6,11.7,0.4,16
13,Kentucky,3,4,75.8,76.4,63.8,12.6,46,39.1,7.4,39.7,33.2,71.8,4.2,12.7,1.19,6.3,5.5,10.7,1.6,16.1
14,Louisville,1,4,73.5,75.4,64.6,10.7,45.2,39.5,8.8,36.1,30.6,66.9,0.5,17.5,1.34,4.9,9.2,13,3,19.2
15,Texas,2,4,79.4,74.9,61.4,13.5,45.4,38.3,5.7,37.7,29,64.5,6.6,13.5,1.14,4.9,5.8,11.8,1.2,17.2
16,Wisconsin,0,4,74.2,68.2,58.3,9.9,44.5,42.9,8.1,37.1,37.5,82.4,3.8,13.2,1.78,3.2,3.5,7.4,2.3,15.1
17,Arizona,2,5,79.4,76.5,67.5,9.1,47.1,44.3,7.9,39.9,28.8,74.7,3.9,14.1,1.1,2.6,5,12.9,-0.1,18.6
18,Kansas St.,0,5,68.8,73.1,66,7.1,43.8,42,7.1,37.5,34.8,64.7,6.8,14.2,0.95,4.8,6.3,15,0.9,20.4
19,Vanderbilt,1,5,69.7,76.2,67.6,8.6,45.7,41,7.8,37,30.6,74.7,2.2,13.4,1.02,4.8,5.3,13.2,-0.9,16.3
20,West Virginia,3,5,64.5,69.5,64.1,5.5,42.7,40.9,6.3,33.5,29.1,70.6,3.5,15.1,1.25,4.3,4.6,12.1,0,17.9
21,Cincinnati,2,6,75.8,69,59.2,9.8,43.6,41.1,6.4,33.9,32.2,66.6,4.7,14.3,1.23,3.8,7.6,11.6,2.8,17.3
22,Georgetown,1,6,67.7,71,66.1,4.9,47.8,41.8,7,36,33,73.2,2.5,15.1,1.13,4.5,6.1,13.4,-1.9,18.6
23,St. John's (NY),0,6,65.6,70.1,66.4,3.7,45.5,43.1,4.3,0,36.6,71.1,0.1,12.8,1.03,2.8,8,12.4,3.7,18.9
24,Xavier,3,6,77.4,72.6,64.5,8.1,46.3,40.2,5.5,33.3,33.8,74.8,4.4,13.3,1.11,3.1,5.5,12,0.5,17.2
25,Temple,2,7,78.1,70.9,62.2,8.8,44.8,41.1,6.1,35.4,35.1,69.4,2.8,15.3,1.41,4.7,6.9,10.8,2.5,15.9
26,Texas A&M,1,7,75,68.9,61,7.9,44.5,41.1,5.4,33.8,31.8,70.3,6.5,13.5,1.04,1.6,6.5,13,0.4,18.2
27,UCLA,0,7,68.8,70,65.8,4.2,45.6,41.6,5.2,32.8,34.3,68.3,4.5,14.6,0.98,5.8,5.4,14.9,-2.8,17.5
28,Washington,3,7,69.7,83.5,70.4,13.1,47.1,41.6,8.8,37.1,32.2,66.7,4.6,17.2,1.39,5.3,6.7,12.4,2.6,20.3
29,Butler,0,8,71.9,72.8,64.7,8.2,44.6,42.9,7.5,36.1,32.9,73,3.4,12.5,1.13,1.6,6,11.1,1.6,19
30,George Mason,3,8,81.3,73.3,61.5,11.8,47.4,40.7,6.7,39.7,31.3,69,2.3,14.3,1.31,3.3,6.8,10.9,2.7,17.2
31,Michigan,2,8,60.6,66.1,62.7,3.4,44.4,42.8,8.1,35.3,32.5,69.6,-1.9,13.5,1.34,2,4.7,10.1,1.4,16.6
32,UNLV,1,8,75,71.9,62.6,9.3,46.1,40,5.5,33.1,32.4,69,1.7,15.5,1.23,3.8,8.1,12.7,3.6,19.3
33,Illinois,1,9,59.4,71.3,65.2,6.1,46.8,40.1,6.8,38.7,30.5,72.9,1.7,16.6,1.3,4.6,5.6,12.7,-0.5,17.6
34,Old Dominion,0,9,81.8,65.8,58.3,7.5,44.1,40.4,4.9,0,37,66.4,12.2,14.5,1.17,4.4,6.8,12.4,-1,14.7
35,Tennessee,2,9,57.6,70.6,67.3,3.3,43.3,41.5,5.2,30.4,33.2,68.3,4.2,13.1,0.99,3.7,7.5,13.2,0.9,19.7
36,Villanova,3,9,65.6,72.7,65.6,7.2,44,40.5,6.3,34.9,32.1,75.8,4.6,13.8,1.15,3.8,6.3,12,0.2,17.5
37,Florida St.,1,10,67.7,69.3,62.3,7.1,43.6,36.4,6.2,33,30.1,66.3,4.7,12.5,0.77,5.7,8.8,16.1,-0.6,19.3
38,Georgia,3,10,65.6,68.8,64.3,4.5,45.1,39.6,4.7,0,32.2,69.6,4.7,15.2,1.13,5,6.5,13.4,-1.2,16.5
39,Michigan St.,0,10,57.6,68.5,66.2,2.3,43.2,42.2,6.4,35.3,36.4,69.9,4.2,14.8,1.12,4.8,6.4,13.3,-1.3,18.8
40,Penn St.,2,10,57.6,63,62.4,0.6,43.7,43.8,6.3,33.6,36.7,72.5,1.4,12.2,1.15,2.5,4.5,10.6,0.2,15.7
41,Gonzaga,0,11,72.7,76.7,65.1,11.6,47.9,39.8,5.8,36.6,35.7,75.9,5.9,15.3,1.14,3.8,7.4,13.5,1.2,18.6
42,Marquette,3,11,58.8,76.1,69.1,7,46.8,43.7,5.3,35.2,36.3,69.1,2.7,15.8,1.32,3.6,7.2,12,2.1,16.9
43,Missouri,2,11,69.7,81.4,71.4,9.9,46.1,43.5,7.2,36.8,34.1,73.9,-1.9,16.4,1.28,5.1,9.8,12.8,5.5,20.3
44,Southern California,1,11,57.6,66.8,62.8,4.1,44.5,41.2,6.2,35.7,33.3,65.3,1.2,12.1,1.06,3,6,11.4,0.6,17.2
45,VCU,1,11,67.6,71.5,67.4,4.1,43.5,45.2,8.2,35.9,35.5,71.9,-3.7,14.2,1.23,3.7,8.5,11.6,3.3,18.2
46,Clemson,3,12,65.6,68.3,60.9,7.3,44.2,40,6.5,34.9,32.2,69.3,1.9,12.9,0.96,4.9,8,13.4,1.8,18.4
