First 4,St. Mary's (CA),N.C. A&T,La Salle,James Madison,,,,,,,,,,,
0 (South),Kansas,North Carolina,VCU,Michigan,MInnesota,Florida,San Diego St.,FGCU,Kansas,Michigan,Florida,FGCU,Michigan,Florida,Michigan
1 (East),Indiana,Temple,California,Syracuse,Butler,Marquette,Illinois,Miami (FL),Indiana,Syracuse,Marquette,Miami (FL),Syracuse,Marquette,Syracuse
2 (West),Gonzaga,Wichita St.,Ole Miss,La Salle,Arizona,Harvard,Iowa St.,Ohio St.,Wichita St.,La Salle,Arizona,Ohio St.,Wichita St.,Ohio St.,Wichita St.
3 (Midwest),Louisville,Colorado St.,Oregon,Saint Louis,Memphis,Michigan St.,Creighton,Duke,Louisville,Oregon,Michigan St.,Duke,Louisville,Duke,Louisville
Final Four Winners,Louisville,Michigan,Louisville,,,,,,,,,,,,
