First 4,Ark.-Pine Bluff,,,,,,,,,,,,,,
0 (South),Duke,California,Texas A&M,Purdue,Old Dominion,Baylor,St. Mary's (CA),Villanova,Duke,Purdue,Baylor,St. Mary's (CA),Duke,Baylor,Duke
1 (East),Kentucky,Wake Forest,Cornell,Wisconsin,Washington,New Mexico,Missouri,West Virginia,Kentucky,Cornell,Washington,West Virginia,Kentucky,West Virginia,West Virginia
2 (West),Syracuse,Gonzaga,Butler,Murray St.,Xavier,Pittsburgh,BYU,Kansas St.,Syracuse,Butler,Xavier,Kansas St.,Butler,Kansas St.,Butler
3 (Midwest),Kansas,UNI,Michigan St.,Maryland,Tennessee,Ohio,Georgia Tech,Ohio St.,UNI,Michigan St.,Tennessee,Ohio St.,Michigan St.,Tennessee,Michigan St.
Final Four Winners,Butler,Duke,Duke,,,,,,,,,,,,
