Rank,Name,Games Won,Region,Seed,Win %,SoS,Pts / Game,Opp Pts / Game,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA
56,Montana,0,1,14,0.8213017751,0.3886198547,0.6644144144,0.6172654691,0.7207792208,0.4129032258,0.4876847291,0.6456043956,0.6737804878,0.7359223301,0.7364864865,0.7233009709,0.5139664804,0.5168539326,0.5104895105,0.4155844156,0.6781609195,0.6147540984,0.780399274,0.3272727273,0.3790322581,0.7204968944,0.2412060302
57,SF Austin,0,2,14,0.8639053254,0.2150928168,0.7781531532,0.6324850299,0.8311688312,0.6,0.4827586207,0.6456043956,0.8079268293,0.8213592233,0.7027027027,0.7475728155,0.6759776536,0.6573033708,0.4545454545,0.5800865801,0.3218390805,1,0.9137931034,0.4606060606,0.2983870968,0.7267080745,0.06532663317
58,Bucknell,0,3,14,0.7585798817,0.3357546408,0.7781531532,0.5144710579,0.7272727273,0.4129032258,0.5418719212,0.6565934066,0.6006097561,0.6970873786,0.5743243243,0.4077669903,0.6368715084,0.6460674157,0.6503496503,0.5238095238,0.6551724138,0.262295082,0.5081669691,0.5303030303,0.4758064516,0.8944099379,0.5628140704
59,Georgia St,0,0,15,0.7136094675,0.3603712672,0.5608108108,0.6484530938,0.6688311688,0.6903225806,0.3201970443,0.6236263736,0.6432926829,0.7009708738,0.3783783784,0.3495145631,0.6536312849,0.5786516854,0.6433566434,0.341991342,0.724137931,0.5163934426,0.7912885662,0.4545454545,0.4919354839,0.2919254658,0.472361809
60,Lipscomb,0,1,15,0.7396449704,0.3204196933,0.8310810811,0.3984530938,0.6233766234,0.335483871,0.5320197044,0.5302197802,0.5945121951,0.6038834951,0.6756756757,0.4902912621,0.5363128492,0.5505617978,0.4475524476,0.7142857143,0.4597701149,0.4836065574,0.5480943739,0.6393939394,0.3951612903,0.8322981366,0.4522613065
61,CSU Fullerton,0,2,15,0.6520710059,0.4362389023,0.4808558559,0.5848303393,0.7142857143,0.3806451613,0.6256157635,0.4835164835,0.5884146341,0.5669902913,0.5945945946,0.432038835,0.5195530726,0.5730337079,0.6083916084,0.4069264069,0.3563218391,0.3606557377,0.4110707804,0.4757575758,0.2741935484,0.9937888199,0.4522613065
62,Iona,0,3,15,0.6059171598,0.3878127522,0.7293543544,0.4321357285,0.6623376623,0.7032258065,0.6502463054,0.6373626374,0.4359756098,0.5786407767,0.3243243243,0.2766990291,0.6424581006,0.6179775281,0.4405594406,0.4805194805,0.7586206897,0.368852459,0.6950998185,0.6606060606,0.6532258065,0.397515528,0.7939698492
63,UMBC,1,0,16,0.724260355,0.2966101695,0.5063813814,0.5988023952,0.5519480519,0.6967741935,0.2068965517,0.5521978022,0.5701219512,0.6038834951,0.4324324324,0.4126213592,0.5865921788,0.5056179775,0.4685314685,0.3896103896,0.6436781609,0.5655737705,0.7595281307,0.7454545455,0.5806451613,0.2360248447,0.7085427136
64,Texas So.,0,1,16,0.4106508876,0.2623083132,0.6467717718,0.3425648703,0.525974026,0.5419354839,0.5517241379,0.5467032967,0.2926829268,0.4233009709,0.4121621622,0.4757281553,0.4581005587,0.5056179775,0.4615384615,0.5194805195,0.6666666667,0.1557377049,0.4310344828,0.3878787879,0.3306451613,0.9378881988,0.7135678392
67,Radford,0,2,16,0.6544378698,0.3018563358,0.2601351351,0.7265469062,0.4285714286,0.4580645161,0.5714285714,0.510989011,0.5640243902,0.5708737864,0.6621621622,0.7427184466,0.3910614525,0.3876404494,0.5034965035,0.1125541126,0.5517241379,0.4836065574,0.5852994555,0.5151515152,0.3548387097,0.4037267081,0.6180904523
68,Penn,0,3,16,0.7668639053,0.3381759483,0.6114864865,0.6152694611,0.6493506494,0.4387096774,0.275862069,0.5384615385,0.7225609756,0.6912621359,0.5878378378,0.2766990291,0.6033519553,0.5393258427,0.7342657343,0.4285714286,0.7011494253,0.3032786885,0.5635208711,0.6727272727,0.5967741935,0.397515528,0.6180904523
