Rank,Name,Games Won,Region,Seed,S.o.S.,Win Pct.,Scoring Margin,Scoring Off.,Scoring Def.,FG Pct.,FG Pct. Def.,3pt FG Pct.,3pt FG Pct. Def.,Free Throw Pct.,FT Att. / Game,Rebound Margin,Off. Reb. / Game,Def. Reb. / Game,Assists / Turnover,Assists / Game,Turnover Margin,Turnovers / Game,Blocks / Game,Steals / Game,Fouls / Game
15,Duke,0,1,4,0.809,0.483,0.486,0.563,0.374,0.518,0.378,0.591,0.839,0.696,0.708,0.549,0.434,0.457,0.305,0.212,0.342,0.737,0.468,0.275,0.727
34,Dayton,0,3,8,0.685,0.616,0.449,0.413,0.498,0.509,0.586,0.659,0.632,0.348,0.896,0.382,0.181,0.449,0.429,0.433,0.508,0.658,0.383,0.58,1.0
58,Vermont,0,3,13,0.494,0.716,0.494,0.304,0.665,0.745,0.468,0.492,0.425,0.398,0.422,0.569,0.273,0.338,0.314,0.221,0.408,0.737,0.404,0.261,0.727
30,Wake Forest,0,1,11,0.951,0.158,0.223,0.628,0.018,0.491,0.234,0.644,0.264,0.785,0.791,0.525,0.423,0.467,0.448,0.423,0.25,0.684,0.319,0.203,0.727
3,West Virginia,0,3,4,0.607,0.556,0.713,0.696,0.476,0.427,0.486,0.47,0.264,0.326,0.918,0.49,0.851,0.105,0.514,0.558,1.0,0.618,0.468,1.0,0.909
28,Marquette,0,3,11,0.644,0.233,0.348,0.652,0.123,0.673,0.18,1.0,0.126,0.818,0.392,0.368,0.2,0.301,0.495,0.529,0.35,0.632,0.277,0.507,0.273
8,Louisville,0,0,2,1.0,0.556,0.518,0.441,0.537,0.345,0.739,0.5,0.828,0.337,0.613,0.647,0.732,0.495,0.333,0.212,0.483,0.763,0.681,0.42,0.545
180,New Orleans,0,3,16,0.375,0.206,0.166,0.267,0.348,0.509,0.333,0.22,0.805,0.481,0.801,0.559,0.569,0.237,0.086,0.462,0.208,0.0,0.191,0.536,0.636
78,Monmouth,0,2,13,0.502,0.716,0.364,0.583,0.22,0.173,0.694,0.568,0.609,0.685,0.844,0.422,0.485,0.676,0.133,0.115,0.425,0.592,0.511,0.406,0.636
48,VCU,0,0,9,0.648,0.556,0.372,0.332,0.502,0.455,0.532,0.25,0.517,0.459,0.608,0.475,0.401,0.404,0.333,0.394,0.458,0.566,0.383,0.536,0.455
227,USC Upstate,0,1,12,0.326,0.0,0.113,0.49,0.048,0.4,0.369,0.402,0.54,0.144,0.484,0.49,0.579,0.558,0.362,0.413,0.117,0.579,0.213,0.188,0.455
114,Winthrop,0,2,14,0.494,0.645,0.409,0.53,0.326,0.373,0.649,0.568,0.793,0.508,0.71,0.412,0.305,0.639,0.124,0.144,0.342,0.513,0.638,0.377,0.682
10,Wichita St.,0,1,8,0.464,0.803,0.818,0.628,0.67,0.518,0.892,0.833,0.805,0.586,0.836,0.799,0.558,0.774,0.61,0.51,0.5,0.789,0.298,0.42,1.0
47,Virginia Tech,0,2,9,0.652,0.387,0.231,0.502,0.163,0.691,0.288,0.811,0.195,0.564,0.668,0.27,0.0,0.384,0.371,0.365,0.242,0.645,0.128,0.0,0.773
2,Villanova,0,2,1,0.82,0.851,0.611,0.441,0.639,0.727,0.541,0.53,0.782,0.939,0.433,0.544,0.167,0.335,0.4,0.279,0.425,0.776,0.149,0.464,0.955
109,FGCU,0,3,14,0.498,0.588,0.453,0.518,0.388,0.782,0.505,0.394,0.805,0.409,0.478,0.667,0.477,0.505,0.371,0.394,0.308,0.618,0.255,0.304,0.682
44,Syracuse,0,3,10,0.745,0.114,0.251,0.397,0.304,0.373,0.45,0.659,0.46,0.564,0.533,0.309,0.424,0.268,0.419,0.423,0.392,0.645,0.532,0.594,1.0
26,Notre Dame,0,2,5,0.76,0.483,0.401,0.482,0.366,0.409,0.459,0.689,0.494,1.0,0.26,0.289,0.26,0.338,0.81,0.481,0.525,0.987,0.34,0.464,0.909
184,North Dakota,0,1,16,0.333,0.339,0.324,0.543,0.22,0.609,0.306,0.606,0.23,0.486,0.652,0.422,0.278,0.483,0.257,0.365,0.433,0.487,0.149,0.58,0.045
59,UNCW,0,2,12,0.596,0.725,0.441,0.761,0.11,0.591,0.0,0.508,0.483,0.376,0.542,0.461,0.568,0.234,0.686,0.471,0.633,0.895,0.234,0.42,0.136
71,UT Arlington,0,3,12,0.629,0.556,0.381,0.457,0.37,0.436,0.577,0.333,0.724,0.26,0.619,0.564,0.546,0.565,0.314,0.404,0.367,0.513,0.0,0.464,0.773
33,Minnesota,0,3,6,0.858,0.483,0.291,0.364,0.379,0.164,0.73,0.371,0.816,0.414,0.857,0.417,0.468,0.776,0.419,0.375,0.367,0.697,1.0,0.275,0.409
4,North Carolina,0,3,1,0.865,0.645,0.619,0.753,0.313,0.509,0.55,0.545,0.448,0.398,0.716,1.0,1.0,0.673,0.619,0.644,0.408,0.671,0.213,0.42,0.636
53,Providence,0,0,10,0.674,0.261,0.19,0.162,0.489,0.291,0.324,0.576,0.552,0.381,0.571,0.309,0.215,0.285,0.305,0.298,0.408,0.632,0.149,0.406,0.773
43,Xavier,0,1,12,0.914,0.188,0.154,0.344,0.251,0.327,0.225,0.326,0.506,0.331,0.836,0.706,0.609,0.425,0.314,0.356,0.225,0.579,0.085,0.319,0.591
5,Virginia,0,0,4,0.903,0.387,0.498,0.0,1.0,0.455,0.775,0.689,0.782,0.431,0.0,0.534,0.184,0.283,0.61,0.288,0.558,0.987,0.426,0.275,0.682
21,Arizona,0,3,3,0.82,0.778,0.47,0.348,0.586,0.482,0.55,0.697,0.759,0.757,0.68,0.701,0.391,0.501,0.343,0.24,0.333,0.75,0.191,0.232,0.773
40,Vanderbilt,0,1,11,0.955,0.039,0.134,0.206,0.379,0.191,0.459,0.621,0.402,0.785,0.444,0.382,0.127,0.488,0.2,0.183,0.117,0.605,0.319,0.014,0.636
