Rank,Name,Games Won,Region,Seed,S.o.S.,Win Pct.,Scoring Margin,Scoring Off.,Scoring Def.,FG Pct.,FG Pct. Def.,3pt FG Pct.,3pt FG Pct. Def.,Free Throw Pct.,FT Att. / Game,Rebound Margin,Off. Reb. / Game,Def. Reb. / Game,Assists /  Turnover,Assists / Game,Turnover Margin,Turnovers / Game,Blocks / Game,Steals / Game,Fouls / Game
12,Oregon,3,1,1,1.0000,0.9342,0.7598,0.6925,0.7067,0.7075,0.6181,0.4973,0.4497,0.6000,0.5961,0.5872,0.4814,0.4544,0.5328,0.4417,0.7333,0.6543,0.8070,0.6250,0.6923
115,Oregon St.,0,1,7,0.9507,0.6950,0.5646,0.4969,0.7009,0.5238,0.6111,0.5936,0.7047,0.4154,0.4688,0.3787,0.4581,0.3550,0.5145,0.4000,0.6917,0.6790,0.3509,0.6250,0.4396
87,Pittsburgh,0,2,10,0.7983,0.7438,0.8048,0.7360,0.7097,0.6939,0.5556,0.6150,0.5034,0.9231,0.5159,0.8468,0.6591,0.6213,0.8276,0.7750,0.5083,0.6790,0.5088,0.2778,0.7363
62,Providence,1,2,9,0.8096,0.7902,0.6156,0.5932,0.6598,0.3810,0.5556,0.3797,0.7987,0.7333,0.5754,0.5149,0.5710,0.5187,0.6446,0.6000,0.7417,0.6296,0.3860,0.5556,0.8022
19,Purdue,0,3,5,0.7817,0.8934,0.9039,0.6925,0.8475,0.6395,0.8958,0.5722,0.8255,0.8154,0.4384,0.9830,0.5979,0.9927,0.7038,0.7083,0.3000,0.5926,0.6316,0.2222,0.7473
20,St. Joseph's,1,1,8,0.7162,0.8934,0.7538,0.6553,0.7361,0.5578,0.8125,0.4064,0.8725,0.7026,0.5319,0.6468,0.4410,0.9316,0.7542,0.5167,0.5750,0.8519,0.3860,0.2917,1.0000
39,Seton Hall,0,3,6,0.7559,0.8594,0.7087,0.5932,0.7507,0.5510,0.7639,0.4866,0.7450,0.3846,0.6090,0.6723,0.6753,0.6725,0.4004,0.4167,0.5500,0.4568,0.5614,0.5972,0.6484
226,S. Dakota St.,0,0,12,0.5821,0.8855,0.7447,0.6988,0.6862,0.6463,0.6736,0.6310,0.6443,0.6718,0.5666,0.7021,0.5052,0.6791,0.3620,0.2417,0.5333,0.6420,0.2281,0.3056,0.4505
98,S. California,0,2,8,0.8170,0.7211,0.7628,0.8665,0.5455,0.6803,0.7569,0.7166,0.7987,0.5333,0.5915,0.6000,0.5652,0.8710,0.5553,0.5500,0.5333,0.5556,0.7719,0.5139,0.7363
7,S.F. Austin,1,2,14,0.3275,0.0000,0.9069,0.7298,0.8152,0.8027,0.4097,0.5668,0.6577,0.6205,0.3544,0.5787,0.5018,0.2894,0.7923,0.8583,1.0000,0.5556,0.3860,0.7917,0.3956
13,Stony Brook,0,2,13,0.4476,0.9218,0.9249,0.6801,0.8798,0.7687,0.7986,0.6310,0.7651,0.5333,0.2506,0.8596,0.6128,0.7447,0.7332,0.6500,0.6000,0.6914,0.5789,0.4722,0.9341
