Rank,Name,Games Won,Region,Seed,Win %,SoS,Pts / Game,Opp Pts / Game,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA
26,SDSU,1,2,7,0.7396061269,0.790987536,0.638762215,0.6813044882,0.5436241611,0.4702380952,0.4862385321,0.6619385343,0.7146974063,0.7799113737,0.6614583333,0.5232067511,0.5081081081,0.5083798883,0.8175182482,0.5094339623,0.7339449541,0.352,0.5181538462,0.3243243243,0.5,0.4700460829,0.861423221
28,Illinois,1,3,7,0.6991247265,0.9774688399,0.6120521173,0.5621569261,0.3691275168,0.4345238095,0.6834862385,0.6737588652,0.5100864553,0.682422452,0.4635416667,0.5569620253,0.4432432432,0.4636871508,0.503649635,0.4402515723,0.7981651376,0.52,0.6547692308,0.0472972973,0.35,0.3640552995,0.6367041199
30,Colorado St,1,0,8,0.8129102845,0.7766059444,0.7576547231,0.5973522764,0.6174496644,0.5357142857,0.6330275229,0.8723404255,0.5187319885,0.8109305761,1,0.8987341772,0.5297297297,0.5921787709,0.5620437956,0.3836477987,0.8532110092,0.224,0.4676923077,0.3175675676,0.6,0.7649769585,0.6441947566
31,Pitt,0,1,8,0.795404814,0.7641418984,0.6342019544,0.8466257669,0.7718120805,0.6011904762,0.4174311927,0.8865248227,0.711815562,0.9187592319,0.8020833333,0.864978903,0.6486486486,0.6312849162,0.7080291971,0.1194968553,0.7889908257,0.568,0.6326153846,0.7804054054,0.94,0.4838709677,0.5917602996
29,UNC,1,2,8,0.7592997812,0.8782358581,0.880781759,0.4187923797,0.5637583893,0.7619047619,0.4495412844,0.7352245863,0.5763688761,0.7548005908,0.5677083333,0.611814346,0.5513513514,0.5139664804,0.5912408759,0.8238993711,0.8532110092,0.52,0.6972307692,0.6452702703,0.88,0.202764977,0.872659176
32,NC State,0,3,8,0.750547046,0.8379674017,0.9019543974,0.3861801744,0.932885906,0.8511904762,0.4770642202,0.8676122931,0.4121037464,0.753323486,0.6510416667,0.6244725738,0.7837837838,0.7709497207,0.6277372263,0.6352201258,0.7339449541,0.16,0.4258461538,0.3648648649,0.64,0.6129032258,0.7902621723
33,Missouri,0,0,9,0.7396061269,0.7818791946,0.861237785,0.4998385534,0.6845637584,0.5416666667,0.7660550459,0.8274231678,0.5561959654,0.8020679468,0.8333333333,0.7932489451,0.6216216216,0.6592178771,0.7080291971,0.6100628931,0.6972477064,0.24,0.4258461538,0.3378378378,0.53,0.5299539171,0.8164794007
35,Wichita St,4,1,9,0.841356674,0.7861936721,0.6534201954,0.6793671295,0.5570469799,0.5416666667,0.5596330275,0.7517730496,0.6340057637,0.7946824225,0.8072916667,0.7637130802,0.5567567568,0.5698324022,0.6642335766,0.4025157233,0.6605504587,0.432,0.504,0.4898648649,0.54,0.5023041475,0.5505617978
38,Villanova,0,2,9,0.6433260394,0.9031639501,0.5918566775,0.5511785599,0.3959731544,0.494047619,0.6513761468,0.5460992908,0.6167146974,0.6573116691,0.6302083333,0.552742616,0.4162162162,0.5363128492,0.5693430657,0.5597484277,0.3486238532,0.576,0.4566153846,0.5168918919,0.23,1,0.5355805243
34,Temple,1,3,9,0.772428884,0.7435282838,0.7348534202,0.4610913788,0.4765100671,0.4761904762,0.6697247706,0.7352245863,0.4582132565,0.694239291,0.4583333333,0.4599156118,0.5027027027,0.5363128492,0.4525547445,0.572327044,0.8990825688,0.432,0.6590769231,0.5844594595,0.82,0.5115207373,0.6516853933
37,Cincinnati,0,0,10,0.7078774617,0.8264621285,0.5488599349,0.7487891508,0.3087248322,0.4047619048,0.3211009174,0.6075650118,0.7608069164,0.7695716396,0.7291666667,0.7932489451,0.3513513514,0.3351955307,0.8832116788,0.4025157233,0.6972477064,0.424,0.52,0.3851351351,0.42,0.3824884793,0.7602996255
39,Iowa St,1,1,10,0.7188183807,0.7881112176,0.9680781759,0.3603487246,0.6644295302,0.75,0.7064220183,0.8510638298,0.469740634,0.7725258493,0.703125,0.6033755274,0.7621621622,0.7597765363,0.5255474453,0.7232704403,0.6880733945,0.328,0.4873846154,0.5777027027,0.68,0.4377880184,0.6891385768
40,Oklahoma,0,2,10,0.6838074398,0.8341323106,0.6824104235,0.5127542783,0.5234899329,0.4464285714,0.8256880734,0.6903073286,0.5129682997,0.694239291,0.5729166667,0.5611814346,0.4378378378,0.5083798883,0.6058394161,0.5220125786,0.7889908257,0.376,0.5741538462,0.2702702703,0.51,0.5622119816,0.7602996255
36,Colorado,0,3,10,0.6958424508,0.8753595398,0.5830618893,0.6009041007,0.5100671141,0.5714285714,0.5,0.6075650118,0.6023054755,0.6883308715,0.6510416667,0.5780590717,0.4648648649,0.4972067039,0.7445255474,0.4528301887,0.5779816514,0.352,0.4596923077,0.04054054054,0.21,0.6221198157,0.9213483146
