Rank,Name,Games Won,Region,Seed,Win %,SoS,Pts / Gm,Opp Pts / Gm,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA
1,Gonzaga,2,0,1,0.9528193326,0.6552808989,1,0.6365229583,1,0.6446700508,0.5733944954,0.968,0.9726027397,1,0.9256756757,0.6228813559,0.9476439791,0.9197860963,1,0.8717948718,0.7118644068,0.2222222222,0.3831705485,0.6493506494,0.8403361345,0.5060240964,0.8235294118
2,Duke,4,0,2,0.8688147296,0.7379775281,0.7837761447,0.5730809674,0.7516339869,0.5888324873,0.5688073394,0.912,0.6506849315,0.7854477612,0.722972973,0.7415254237,0.7486910995,0.7326203209,0.7819548872,0.5192307692,0.8220338983,0.1388888889,0.3831705485,0.7045454545,0.9243697479,0.4457831325,0.9369747899
3,Texas Tech,2,0,3,0.7663981588,0.8462921348,0.5443753533,0.8124780932,0.6274509804,0.3147208122,0.4311926606,0.5973333333,0.9760273973,0.7425373134,0.8310810811,0.8050847458,0.5811518325,0.5935828877,0.7744360902,0.4679487179,0.4237288136,0.625,0.4936138242,0.5519480519,0.3613445378,0.7108433735,0.5504201681
4,Arkansas,3,0,4,0.7928653625,0.8278651685,0.6921989825,0.5240098142,0.431372549,0.2791878173,0.6788990826,0.6213333333,0.7705479452,0.6473880597,0.6891891892,0.6991525424,0.4136125654,0.5026737968,0.5939849624,0.7628205128,0.6440677966,0.4513888889,0.5011269722,0.5714285714,0.4789915966,0.9156626506,0.4789915966
5,UConn,0,0,5,0.747986191,0.7878651685,0.642736009,0.6428321066,0.4052287582,0.5126903553,0.6651376147,0.7253333333,0.7431506849,0.7052238806,0.8783783784,1,0.4345549738,0.4759358289,0.7669172932,0.4423076923,0.6949152542,0.2638888889,0.354620586,0.5487012987,0.5294117647,0.5722891566,0.5588235294
6,Alabama,0,0,6,0.6041426928,1,0.7778405879,0.24851034,0.4379084967,0.2842639594,0.5733944954,0.6933333333,0.4452054795,0.5205223881,0.6891891892,0.9025423729,0.5340314136,0.5668449198,0.4661654135,0.8397435897,0.5,0.2430555556,0.2088655147,0.5714285714,0.3781512605,0.6686746988,0.4201680672
7,Michigan St,1,0,7,0.665132336,0.917752809,0.5551158847,0.5278654048,0.5424836601,0.6395939086,0.6513761468,0.6186666667,0.5582191781,0.5298507463,0.7364864865,0.6949152542,0.5602094241,0.5828877005,0.6466165414,0.5064102564,0.5,0.1111111111,0.1247182569,0.8246753247,0.5546218487,0.5602409639,0.6260504202
8,Boise State,0,0,8,0.83429229,0.7078651685,0.4595816846,0.7970557308,0.4836601307,0.4873096447,0.2018348624,0.5813333333,0.8390410959,0.6567164179,0.7837837838,0.6906779661,0.5392670157,0.513368984,0.6240601504,0.3076923077,0.5593220339,0.4375,0.3989481593,0.3831168831,0.3361344538,0.5602409639,0.6932773109
9,Memphis,1,0,9,0.7261219793,0.7707865169,0.6704352742,0.5327725202,0.6405228758,0.5685279188,0.4128440367,0.6266666667,0.7397260274,0.6343283582,0.8175675676,0.9915254237,0.6020942408,0.6203208556,0.6917293233,0.7371794872,0.2711864407,0.4375,0.2261457551,0.7824675325,0.3613445378,0.813253012,0.5
10,Davidson,0,0,10,0.8918296893,0.5298876404,0.6656302996,0.6200490712,0.7189542484,0.6903553299,0.6834862385,0.8453333333,0.6095890411,0.7164179104,0.6959459459,0.4194915254,0.7905759162,0.8021390374,0.5263157895,0.3846153846,0.7796610169,0.2291666667,0.4222389181,0.6331168831,0.7899159664,0.6445783133,0.6218487395
11,Notre Dame,1,0,11,0.7123130035,0.7375280899,0.5667043527,0.5839467227,0.5751633987,0.6497461929,0.7018348624,0.6986666667,0.5650684932,0.5895522388,0.5608108108,0.3474576271,0.6858638743,0.6898395722,0.6165413534,0.3782051282,0.7288135593,0.09722222222,0.2907588279,0.6266233766,0.6890756303,0.421686747,0.8109243697
13,New Mex St,1,0,12,0.8561565017,0.488988764,0.5895986433,0.6473887136,0.5424836601,0.3756345178,0.4266055046,0.6373333333,0.7671232877,0.6567164179,0.8716216216,0.8220338983,0.5968586387,0.5989304813,0.7593984962,0.5320512821,0.4322033898,0.25,0.1780616078,0.5974025974,0.3697478992,0.656626506,0.6344537815
14,Vermont,0,0,13,0.8964326812,0.1802247191,0.63566987,0.8131791097,0.7777777778,0.5685279188,0.6513761468,0.8506666667,0.845890411,0.848880597,0.8581081081,0.436440678,0.832460733,0.8128342246,0.7142857143,0.3141025641,0.7796610169,0.2708333333,0.4425244177,0.6461038961,0.8571428571,0.3795180723,0.8319327731
15,Montana St,0,0,14,0.83429229,0.1928089888,0.6930469192,0.5268138801,0.660130719,0.5939086294,0.6788990826,0.712,0.6712328767,0.6567164179,0.75,0.5508474576,0.6858638743,0.743315508,0.5263157895,0.6025641026,0.5423728814,0.3194444444,0.3328324568,0.4675324675,0.4033613445,0.9518072289,0.3655462185
16,CSUF,0,0,15,0.6996547756,0.3492134831,0.5033917467,0.6077812829,0.4640522876,0.3502538071,0.7339449541,0.6773333333,0.5171232877,0.5485074627,0.6216216216,0.686440678,0.4188481675,0.6042780749,0.3383458647,0.3076923077,0.5762711864,0.4375,0.4380165289,0.3181818182,0.3109243697,0.8554216867,0.7058823529
17,Georgia St,0,0,16,0.6605293441,0.3631460674,0.5132843414,0.6572029443,0.1895424837,0.3908629442,0.5137614679,0.5146666667,0.801369863,0.5895522388,0.5878378378,0.8474576271,0.2722513089,0.2994652406,0.5939849624,0.5192307692,0.6949152542,0.625,0.6776859504,0.6136363636,0.4957983193,0.4578313253,0.5672268908
18,Baylor,1,1,1,0.8561565017,0.8674157303,0.6797625777,0.6964598668,0.5882352941,0.4771573604,0.4266055046,0.76,0.8356164384,0.7798507463,0.7702702703,0.9322033898,0.6073298429,0.5828877005,0.6390977444,0.5320512821,0.6186440678,0.5763888889,0.5657400451,0.6753246753,0.6050420168,0.3915662651,0.6806722689
19,Kentucky,0,1,2,0.8273878021,0.8395505618,0.7631430187,0.6133894147,0.7254901961,0.4923857868,0.5733944954,0.8426666667,0.7534246575,0.7929104478,1,1,0.6335078534,0.6203208556,0.7218045113,0.5769230769,0.7288135593,0.25,0.3651389932,0.5714285714,0.7058823529,0.3855421687,0.7142857143
