Rank,Name,Games Won,Region,Seed,Win %,SoS,Pts / Gm,Opp Pts / Gm,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA
1,Duke,,0,1,0.9681093394,0.9087167976,0.6914267016,0.9300518135,0.7571428571,0.5891472868,0.506097561,0.9156976744,0.9756097561,1,0.8975903614,0.7254901961,0.7541899441,0.7455621302,0.9242424242,0.3082706767,0.72,0.5225225225,0.5234899329,0.632183908,0.6054421769,0.5804878049,0.9159292035
2,Florida,,1,1,0.7938496583,0.9352787131,0.8386780105,0.6025166543,0.6714285714,0.2558139535,0.4207317073,0.8343023256,0.7909407666,0.8545780969,1,0.9254901961,0.5698324022,0.573964497,0.8181818182,0.7142857143,0.7,0.3063063063,0.3187919463,0.4827586207,0.4557823129,0.6,0.5752212389
3,Arizona,,2,1,0.9681093394,0.9143284699,0.8177356021,0.7213175426,0.8428571429,0.6589147287,0.5670731707,0.8488372093,0.9059233449,0.9228007181,0.8674698795,0.7254901961,0.6592178771,0.6923076923,0.9696969697,0.6240601504,0.76,0.3963963964,0.4815436242,0.5229885057,0.5782312925,0.7853658537,0.7920353982
4,Michigan,,3,1,0.9658314351,0.987654321,0.8543848168,0.7179866765,0.8785714286,0.6744186047,0.6402439024,0.8808139535,0.9163763066,0.947935368,0.8072289157,0.6196078431,0.8324022346,0.8461538462,0.9924242424,0.6466165414,0.59,0.3243243243,0.3213087248,0.6867816092,0.5510204082,0.6536585366,0.8053097345
5,UConn,,0,2,0.867881549,0.8383838384,0.5346858639,0.8571428571,0.7,0.5968992248,0.4573170732,0.738372093,0.8432055749,0.8222621185,0.6807228916,0.631372549,0.6703910615,0.6331360947,0.8181818182,0.2255639098,0.62,0.5045045045,0.4538590604,0.7988505747,0.6258503401,0.2975609756,0.389380531
6,Houston,,1,2,0.8348519362,0.8900112233,0.5232329843,0.9411547002,0.4714285714,0.5736434109,0.7987804878,0.7936046512,0.8919860627,0.881508079,0.5602409639,0.6392156863,0.4916201117,0.4911242604,0.7954545455,0.1428571429,0.96,0.7207207207,0.822147651,0.4511494253,0.6870748299,0.2634146341,0.4601769912
7,Purdue,,2,2,0.7676537585,0.9524878414,0.672447644,0.6732050333,0.8142857143,0.8217054264,0.6280487805,0.9738372093,0.5296167247,0.8061041293,0.7710843373,0.6705882353,0.8044692737,0.7692307692,0.4848484848,0.1804511278,0.87,0.3423423423,0.4907718121,0.8477011494,1,0.2780487805,0.8230088496
8,Iowa St,,3,2,0.8006833713,0.836513281,0.675065445,0.8560325685,0.7571428571,0.8682170543,0.1890243902,0.8401162791,0.9233449477,0.9263913824,0.6385542169,0.6156862745,0.7374301676,0.674556213,0.6666666667,0.3909774436,0.77,0.8738738739,0.8045302013,0.6091954023,0.6530612245,0.3658536585,0.7876106195
9,Michigan St,,0,3,0.7858769932,0.9270482604,0.5818062827,0.7353811991,0.6214285714,0.6511627907,0.743902439,0.761627907,0.7108013937,0.7684021544,0.9397590361,0.7411764706,0.5754189944,0.6153846154,0.6666666667,0.2857142857,0.61,0.2792792793,0.2541946309,0.8563218391,0.6054421769,0.5951219512,0.6415929204
10,Illinois,,1,3,0.7505694761,0.8888888889,0.7598167539,0.6835677276,0.5642857143,0.5581395349,0.9024390244,1,0.637630662,0.8779174147,0.8313253012,0.7490196078,0.6592178771,0.6923076923,0.8333333333,0.2406015038,0.95,0,0.2961409396,0.4022988506,0.6326530612,0.5170731707,1
11,Gonzaga,,2,3,0.9316628702,0.6689113356,0.7840314136,0.8245743893,0.9,0.503875969,0.3536585366,0.8546511628,1,0.9748653501,0.7530120482,0.5960784314,0.7262569832,0.674556213,0.8636363636,0.5563909774,0.88,0.7027027027,0.7869127517,0.5603448276,0.8027210884,0.3073170732,0.6902654867
12,Virginia,,3,3,0.867881549,0.7946127946,0.6377617801,0.7353811991,0.5642857143,0.6511627907,0.5182926829,0.8139534884,0.7351916376,0.8132854578,0.734939759,0.7176470588,0.6312849162,0.6213017751,0.8560606061,0.2631578947,0.71,0.2972972973,0.3632550336,0.6293103448,0.5510204082,0.4195121951,0.5619469027
13,Kansas,,0,4,0.6902050114,1,0.4738219895,0.6991117691,0.4928571429,0.5813953488,0.7682926829,0.5494186047,0.7386759582,0.6517055655,0.5180722892,0.3882352941,0.4636871508,0.4970414201,0.9696969697,0.3909774436,0.7,0.1531531532,0.2961409396,0.4626436782,0.4217687075,0.4682926829,0.8185840708
14,Nebraska,,1,4,0.8223234624,0.835765058,0.527486911,0.8164322724,0.5785714286,0.6046511628,0.6646341463,0.6656976744,0.850174216,0.7809694794,0.4397590361,0.262745098,0.6759776536,0.650887574,0.7954545455,0.3233082707,0.77,0.5855855856,0.6577181208,0.816091954,0.7619047619,0.243902439,0.8716814159
15,Arkansas,,2,4,0.7596810934,0.9031051253,0.9456806283,0.2975573649,0.8285714286,0.8217054264,0.6463414634,0.9127906977,0.4529616725,0.7289048474,0.4939759036,0.5098039216,0.7262569832,0.7396449704,0.5075757576,0.7067669173,0.99,0.3243243243,0.6115771812,0.4396551724,0.7891156463,0.5853658537,0.6725663717
16,Alabama,,3,4,0.715261959,0.9842873176,1,0.1780162842,0.5285714286,0.6434108527,0.756097561,0.898255814,0.3832752613,0.684021544,0.4518072289,0.4784313725,0.6759776536,0.7159763314,0.6742424242,0.8721804511,0.93,0.05405405405,0.3615771812,0.4683908046,0.6326530612,0.6390243902,0.6592920354
17,St John's,,0,5,0.8348519362,0.8492330715,0.667539267,0.677646188,0.5,0.4418604651,0.5243902439,0.6802325581,0.8327526132,0.7809694794,0.6024096386,0.6392156863,0.4301675978,0.4792899408,0.7803030303,0.6015037594,0.81,0.6036036036,0.663590604,0.6034482759,0.5646258503,0.7365853659,0.6592920354
18,Vanderbilt,,1,5,0.7938496583,0.8686868687,0.8357329843,0.4959289415,0.6714285714,0.6124031008,0.9024390244,0.8837209302,0.5993031359,0.7863554758,0.4457831325,0.462745098,0.687150838,0.7573964497,0.5984848485,0.5864661654,0.88,0.4864864865,0.6593959732,0.5459770115,0.6802721088,0.7365853659,0.2876106195
19,Wisconsin,,2,5,0.7004555809,0.9094650206,0.7146596859,0.4578090303,0.4714285714,0.6666666667,0.8841463415,0.8052325581,0.4668989547,0.6696588869,0.4578313253,0.3843137255,0.625698324,0.6568047337,0.5151515152,0.4360902256,0.94,0.2342342342,0.4815436242,0.5775862069,0.7278911565,0.4731707317,0.685840708
20,Texas Tech,,3,5,0.6799544419,0.9730639731,0.629908377,0.5792005922,0.5928571429,0.9147286822,0.4512195122,0.7790697674,0.543554007,0.6929982047,0.5481927711,0.537254902,0.7206703911,0.6686390533,0.6666666667,0.3684210526,0.69,0.2342342342,0.3196308725,0.525862069,0.5102040816,0.1951219512,0.6991150442
21,Louisville,,0,6,0.6902050114,0.8492330715,0.7722513089,0.5958549223,0.6142857143,0.6356589147,0.7804878049,0.8226744186,0.7108013937,0.8061041293,0.6506024096,0.5215686275,0.7318435754,0.7573964497,0.6818181818,0.6015037594,0.64,0.4144144144,0.4026845638,0.6408045977,0.5102040816,0.5024390244,0.6150442478
22,UNC,,1,6,0.7505694761,0.8529741863,0.6092931937,0.6280532939,0.6357142857,0.5426356589,0.262195122,0.7238372093,0.6411149826,0.7091561939,0.5843373494,0.462745098,0.6312849162,0.5976331361,0.7954545455,0.4360902256,0.83,0.1531531532,0.3615771812,0.5689655172,0.6326530612,0.4975609756,0.9292035398
23,BYU,,2,6,0.6662870159,0.9098391321,0.7444371728,0.4796447076,0.6642857143,0.5736434109,0.6402439024,0.8023255814,0.543554007,0.7073608618,0.5963855422,0.5882352941,0.6368715084,0.6449704142,0.5454545455,0.5639097744,0.75,0.3783783784,0.4513422819,0.2356321839,0.3537414966,0.4926829268,0.7566371681
24,Tennessee,,3,6,0.6560364465,0.8933782267,0.5984947644,0.7002220577,0.5642857143,0.4573643411,0.3231707317,0.7470930233,0.7038327526,0.7558348294,0.9578313253,1,0.4636871508,0.4615384615,0.7348484848,0.3233082707,0.66,0.3693693694,0.336409396,0.6494252874,0.4965986395,0.5609756098,0.5442477876
25,UCLA,,0,7,0.6662870159,0.8757949869,0.542539267,0.6395262768,0.6214285714,0.8294573643,0.7682926829,0.7529069767,0.5296167247,0.6696588869,0.4036144578,0.4509803922,0.5921787709,0.6213017751,0.5151515152,0.2030075188,0.89,0.4954954955,0.6493288591,0.6379310345,0.7619047619,0.487804878,0.5132743363
26,St Mary's,,1,7,0.8576309795,0.6524504302,0.5572643979,0.8778682457,0.55,0.8837209302,1,0.7703488372,0.8710801394,0.8563734291,0.9156626506,0.7137254902,0.5530726257,0.6331360947,0.9015151515,0.2631578947,0.67,0.3153153153,0.3431208054,0.6005747126,0.4829931973,0.6682926829,0.8451327434
27,Miami (FL),,2,7,0.7596810934,0.7164234942,0.679973822,0.6328645448,0.8357142857,0.5581395349,0.2682926829,0.7877906977,0.6759581882,0.7666068223,0.765060241,0.6823529412,0.687150838,0.650887574,0.5227272727,0.4736842105,0.68,0.5585585586,0.5125838926,0.474137931,0.4897959184,0.5024390244,0.7743362832
28,Kentucky,,3,7,0.6002277904,0.9255518144,0.6413612565,0.5351591414,0.5714285714,0.511627907,0.5304878049,0.7151162791,0.5679442509,0.6660682226,0.5542168675,0.5568627451,0.5474860335,0.5680473373,0.6287878788,0.5112781955,0.77,0.3243243243,0.4320469799,0.5689655172,0.5442176871,0.5804878049,0.4734513274
29,Ohio State,,0,8,0.6207289294,0.8963711186,0.6096204188,0.5732790526,0.7785714286,0.6589147287,0.8170731707,0.7994186047,0.4843205575,0.6750448833,0.5240963855,0.4392156863,0.7374301676,0.7810650888,0.5303030303,0.2631578947,0.69,0.3243243243,0.4026845638,0.4252873563,0.4489795918,0.6780487805,0.5132743363
30,Clemson,,1,8,0.7004555809,0.8024691358,0.425065445,0.7971872687,0.4928571429,0.511627907,0.5182926829,0.6191860465,0.7282229965,0.6894075404,0.5120481928,0.3333333333,0.5195530726,0.5384615385,0.6287878788,0.1879699248,0.8,0.4864864865,0.5654362416,0.3735632184,0.4353741497,0.5658536585,0.5752212389
31,Villanova,,2,8,0.7505694761,0.8155630378,0.5235602094,0.6476683938,0.5214285714,0.6046511628,0.3231707317,0.6889534884,0.5853658537,0.6588868941,0.4156626506,0.5019607843,0.5810055866,0.5384615385,0.5378787879,0.2556390977,0.76,0.5495495495,0.5922818792,0.5632183908,0.5510204082,0.3073170732,0.7522123894
32,Georgia,,3,8,0.6799544419,0.7777777778,0.9375,0.3375277572,0.6214285714,0.511627907,0.6890243902,0.8546511628,0.5540069686,0.7450628366,0.4578313253,0.6117647059,0.6312849162,0.6627218935,0.5984848485,0.7819548872,0.83,0.4954954955,0.644295302,0.3218390805,0.462585034,0.6048780488,0.6902654867
33,TCU,,0,9,0.6560364465,0.8002244669,0.5608638743,0.600296077,0.4571428571,0.4341085271,0.4085365854,0.5813953488,0.6898954704,0.6463195691,0.5421686747,0.5803921569,0.4245810056,0.4437869822,0.5454545455,0.5037593985,0.73,0.6396396396,0.6291946309,0.5862068966,0.4829931973,0.5853658537,0.703539823
34,Iowa,,1,9,0.6207289294,0.8084549196,0.4597513089,0.825684678,0.7642857143,0.6356589147,0.7865853659,0.7877906977,0.6411149826,0.7486535009,0.4759036145,0.4117647059,0.7430167598,0.7633136095,0.3636363636,0.03007518797,0.71,0.7657657658,0.6929530201,0.5977011494,0.5850340136,0.5463414634,0.4026548673
35,Utah State,,2,9,0.8348519362,0.6872427984,0.6992801047,0.6635825315,0.8142857143,0.6434108527,0.4024390244,0.8401162791,0.6898954704,0.8061041293,0.5060240964,0.537254902,0.7765363128,0.7573964497,0.5909090909,0.4135338346,0.72,0.6936936937,0.6887583893,0.6695402299,0.6394557823,0.5512195122,0.4203539823
36,St Louis,,3,9,0.8621867882,0.5013093902,0.8534031414,0.6943005181,0.8928571429,0.976744186,0.6280487805,0.8720930233,0.8919860627,0.9299820467,0.7409638554,0.4862745098,0.9329608939,0.9171597633,0.9393939394,0.6766917293,0.53,0.3603603604,0.3213087248,0.6551724138,0.5102040816,0.487804878,0.4778761062
37,UCF,,0,10,0.6435079727,0.8484848485,0.6482329843,0.3630643967,0.5857142857,0.6744186047,0.6036585366,0.6569767442,0.4146341463,0.5511669659,0.5843373494,0.5803921569,0.530726257,0.5266272189,0.3939393939,0.5714285714,0.71,0.3423423423,0.3901006711,0.4712643678,0.4693877551,0.3609756098,0.5088495575
38,Texas A&M,,1,10,0.6435079727,0.7661803217,0.8691099476,0.3227239082,0.5285714286,0.6744186047,0.5853658537,0.7877906977,0.5191637631,0.6858168761,0.421686747,0.4980392157,0.6089385475,0.6272189349,0.4924242424,0.7142857143,0.8,0.5045045045,0.6132550336,0.6925287356,0.6462585034,0.5951219512,0.4911504425
39,Missouri,,2,10,0.6082004556,0.771791994,0.6053664921,0.4789045152,0.7571428571,0.5813953488,0.2743902439,0.7122093023,0.4425087108,0.5996409336,0.5843373494,0.6235294118,0.6703910615,0.6568047337,0.4545454545,0.4060150376,0.52,0.3783783784,0.3036912752,0.3850574713,0.2857142857,0.6682926829,0.5088495575
40,Santa Clara,,3,10,0.7676537585,0.6711560045,0.7097513089,0.5862324204,0.6,0.5503875969,0.5792682927,0.8081395349,0.6306620209,0.7558348294,0.5361445783,0.6705882353,0.6312849162,0.5857988166,0.4545454545,0.5037593985,0.75,0.6846846847,0.6568791946,0.5172413793,0.5646258503,0.1512195122,0.4469026549
41,S Florida,,0,11,0.7505694761,0.5346053124,0.887434555,0.4485566247,0.4071428571,0.4496124031,0.6219512195,0.7848837209,0.7038327526,0.7791741472,0.6204819277,0.7294117647,0.4525139665,0.5147928994,0.6893939394,0.7744360902,0.81,0.5675675676,0.644295302,0.6379310345,0.5646258503,0.7414634146,0.482300885
42,VCU,,1,11,0.7938496583,0.5540591096,0.6789921466,0.6113989637,0.5571428571,0.6899224806,0.6097560976,0.7790697674,0.6550522648,0.750448833,0.5361445783,0.5176470588,0.6089385475,0.6627218935,0.6742424242,0.4887218045,0.73,0.4324324324,0.4890939597,0.4454022989,0.4081632653,0.8390243902,0.6194690265
43,NC State,,2,11,0.5865603645,0.8496071829,0.737565445,0.4352331606,0.6,0.8759689922,0.7743902439,0.8110465116,0.4634146341,0.671454219,0.3855421687,0.3490196078,0.6703910615,0.7041420118,0.3939393939,0.4887218045,0.9,0.5135135135,0.682885906,0.5057471264,0.6598639456,0.5658536585,0.5398230088
44,Texas,,2,11,0.5375854214,0.8294051627,0.7401832461,0.4245003701,0.7285714286,0.6046511628,0.6768292683,0.8430232558,0.4181184669,0.6678635548,0.7530120482,0.6549019608,0.6536312849,0.7218934911,0.4621212121,0.4661654135,0.7,0.1621621622,0.2516778523,0.1810344828,0.2721088435,0.9073170732,0.3362831858
45,Miami (OH),,3,11,1,0.2386831276,0.9662958115,0.4811250925,1,0.9069767442,0.6585365854,0.9534883721,0.6724738676,0.8671454219,0.5120481928,0.2666666667,1,1,0.6212121212,0.6842105263,0.76,0.4774774775,0.5872483221,0.4109195402,0.5578231293,0.6926829268,0.7168141593
46,SMU,,3,11,0.5865603645,0.8436213992,0.7542539267,0.3948926721,0.7571428571,0.7674418605,0.6097560976,0.7877906977,0.4599303136,0.6552962298,0.578313253,0.6196078431,0.6927374302,0.6804733728,0.5075757576,0.5789473684,0.69,0.4144144144,0.461409396,0.5143678161,0.5306122449,0.356097561,0.6504424779
47,N Iowa,,0,12,0.6446469248,0.5005611672,0.2863219895,1,0.6642857143,0.6201550388,0.3536585366,0.523255814,0.9268292683,0.7324955117,0.3795180723,0.09803921569,0.6424581006,0.573964497,0.8484848485,0.05263157895,0.73,0.5585585586,0.5981543624,0.5804597701,0.6054421769,0.1219512195,0.7566371681
48,McNeese St,,1,12,0.8621867882,0.36775159,0.617473822,0.8079200592,0.6,0.3410852713,0.6463414634,0.7703488372,0.850174216,0.8456014363,0.4939759036,0.6588235294,0.5027932961,0.5443786982,0.6363636364,0.3233082707,0.86,1,1,0.3764367816,0.5102040816,0.6390243902,0.3761061947
49,High Point,,2,12,0.9009111617,0.1492704826,0.9427356021,0.6669133975,0.7642857143,0.6279069767,0.6219512195,0.9709302326,0.8675958188,0.9784560144,0.5180722892,0.5294117647,0.7430167598,0.7810650888,0.6515151515,0.6616541353,0.94,0.8738738739,0.9773489933,0.4712643678,0.693877551,0.8195121951,0.5619469027
50,Akron,,3,12,0.867881549,0.3194912084,0.8897251309,0.5470022206,0.85,0.8062015504,0.6890243902,0.9302325581,0.6864111498,0.8599640934,0.6385542169,0.5647058824,0.8659217877,0.8343195266,0.6287878788,0.6616541353,0.73,0.5585585586,0.6023489933,0.5833333333,0.6598639456,0.2682926829,0.7477876106
51,Cal Baptist,,0,13,0.7505694761,0.3344556678,0.3985602094,0.7586972613,0.35,0.480620155,0.4573170732,0.4738372093,0.7944250871,0.6337522442,0.7409638554,0.7254901961,0.3016759777,0.325443787,0.7954545455,0.3383458647,0.55,0.4234234234,0.3246644295,0.08908045977,0.08163265306,0.5268292683,0.4867256637
52,Troy,,1,13,0.6560364465,0.2731013842,0.6253272251,0.5621761658,0.4642857143,0.4651162791,0.5914634146,0.6511627907,0.6515679443,0.6696588869,0.5722891566,0.6156862745,0.5195530726,0.5384615385,0.6666666667,0.3834586466,0.62,0.4864864865,0.4563758389,0.6034482759,0.4217687075,0.5365853659,0.685840708
53,Hawaii,,2,13,0.7505694761,0.3101384212,0.6043848168,0.6868985936,0.5357142857,0.3100775194,0.6097560976,0.5377906977,0.9094076655,0.7324955117,0.6987951807,0.4980392157,0.4972067039,0.5621301775,0.8636363636,0.6842105263,0.44,0.4324324324,0.2802013423,0.3994252874,0.2040816327,0.8,0.5973451327
54,Hofstra,,3,13,0.7004555809,0.3516647961,0.4731675393,0.822353812,0.4142857143,0.7209302326,0.6402439024,0.6773255814,0.7700348432,0.7468581688,0.6506024096,0.6235294118,0.4972067039,0.5088757396,0.9166666667,0.1954887218,0.7,0.2702702703,0.3431208054,0.3390804598,0.3333333333,0.4097560976,0.6017699115
