Rank,Name,Games Won,Region,Seed,Win %,SoS,Pts / Game,Opp Pts / Game,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA
1,Kentucky,6,0,1,1,0.9060150376,0.8241094148,0.7633685559,0.8904109589,0.6206896552,0.6666666667,0.8944723618,0.8623188406,1,0.8671328671,0.7422222222,0.7692307692,0.7808988764,1,0.4642857143,0.775,0.1730769231,0.5703012912,0.3038461538,0.6548672566,0.6934673367,0.8744939271
4,Michigan St,2,1,1,0.8193688792,0.9948308271,0.6418575064,0.8037143772,0.8150684932,0.5172413793,0.5824175824,0.7236180905,0.8731884058,0.8800738007,0.951048951,0.6977777778,0.7087912088,0.691011236,0.8333333333,0.3869047619,0.5666666667,0.3653846154,0.518651363,0.7115384615,0.6548672566,0.5025125628,0.6194331984
2,Syracuse,3,2,1,0.9662676823,0.9102443609,0.7201017812,0.7499199488,0.7465753425,0.4540229885,0.5750915751,0.8140703518,0.7862318841,0.9022140221,0.4335664336,0.7066666667,0.6758241758,0.6404494382,0.8257575758,0.3928571429,0.8333333333,0.6730769231,0.9275466284,0.6,0.8849557522,0.3316582915,0.7530364372
3,UNC,3,3,1,0.8824809576,0.8656015038,0.9500636132,0.5552353506,0.6917808219,0.367816092,0.5164835165,0.7638190955,0.8405797101,0.8929889299,1,0.8311111111,0.5494505495,0.5337078652,0.8409090909,0.8452380952,0.85,0.2788461538,0.6492109039,0.6769230769,0.9026548673,0.4522613065,1
6,Duke,0,0,2,0.830250272,0.9281015038,0.8212468193,0.5049631764,0.6712328767,0.5804597701,0.5860805861,0.7889447236,0.5543478261,0.7656826568,0.6503496503,0.6355555556,0.7142857143,0.7247191011,0.6060606061,0.5773809524,0.7,0.2692307692,0.5760401722,0.3038461538,0.5044247788,0.7638190955,0.6801619433
8,Missouri,0,1,2,0.8988030468,0.8002819549,0.9201653944,0.5798911303,1,0.7356321839,0.8241758242,1,0.5579710145,0.9225092251,0.5244755245,0.4444444444,1,1,0.4621212121,0.4642857143,0.8333333333,0.5288461538,0.8292682927,0.6615384615,1,0.6180904523,0.8502024291
7,Ohio State,4,2,2,0.8313384113,0.9595864662,0.7385496183,0.7877041306,0.8082191781,0.367816092,0.6153846154,0.7713567839,0.9275362319,0.942804428,0.9230769231,0.6444444444,0.6758241758,0.6741573034,0.6742424242,0.494047619,0.7416666667,0.6442307692,0.7711621234,0.5076923077,0.7256637168,0.5326633166,0.7773279352
5,Kansas,5,3,2,0.8596300326,1,0.7010178117,0.7268651937,0.7808219178,0.4310344828,0.5531135531,0.7010050251,0.8550724638,0.8542435424,0.8111888112,0.6444444444,0.6868131868,0.6741573034,0.8181818182,0.5178571429,0.5916666667,0.4326923077,0.5853658537,0.65,0.6283185841,0.5577889447,0.6315789474
9,Baylor,3,0,3,0.8248095756,0.9107142857,0.7391857506,0.6109510086,0.7465753425,0.6494252874,0.7802197802,0.756281407,0.6485507246,0.7896678967,0.8041958042,0.8,0.7142857143,0.7303370787,0.5984848485,0.505952381,0.525,0.4711538462,0.5602582496,0.6269230769,0.5663716814,0.5125628141,0.6720647773
10,Marquette,2,1,3,0.8052230686,0.8858082707,0.760178117,0.5917387128,0.6438356164,0.3850574713,0.6593406593,0.6457286432,0.7862318841,0.778597786,0.4825174825,0.6,0.5659340659,0.6011235955,0.7424242424,0.7202380952,0.625,0.6346153846,0.7733142037,0.8692307692,0.7168141593,0.6582914573,0.7489878543
11,Florida St,1,2,3,0.7431991295,0.8914473684,0.5830152672,0.6894012168,0.6712328767,0.4827586207,0.6080586081,0.5376884422,0.8297101449,0.721402214,0.6643356643,0.6488888889,0.6263736264,0.6123595506,0.7878787879,0.5178571429,0.3166666667,0.5673076923,0.4971305595,0.3153846154,0.2920353982,0.4120603015,0.6072874494
12,Georgetown,1,3,3,0.7573449402,0.8947368421,0.558524173,0.8024335575,0.7328767123,0.4425287356,0.5750915751,0.6658291457,0.8188405797,0.8099630996,0.8111888112,0.6844444444,0.6648351648,0.6516853933,0.8484848485,0.2797619048,0.5583333333,0.3846153846,0.5509325681,0.5807692308,0.5575221239,0.5326633166,0.6153846154
15,Indiana,2,0,4,0.7823721436,0.899906015,0.8209287532,0.5757284662,0.9178082192,0.9252873563,0.8131868132,0.8693467337,0.5688405797,0.832103321,0.7202797203,0.6622222222,0.8461538462,0.8988764045,0.5227272727,0.494047619,0.5833333333,0.4134615385,0.5738880918,0.4153846154,0.5309734513,0.8844221106,0.6234817814
16,Louisville,4,1,4,0.7823721436,0.9572368421,0.5314885496,0.7499199488,0.4383561644,0.275862069,0.5384615385,0.4924623116,0.9094202899,0.7287822878,0.6433566434,0.68,0.4120879121,0.4157303371,0.8787878788,0.5,0.5083333333,0.6057692308,0.6420373027,0.5653846154,0.4424778761,0.4271356784,0.6801619433
14,Wisconsin,2,2,4,0.7519042437,0.9205827068,0.3985368957,1,0.4589041096,0.5632183908,0.7252747253,0.6909547739,0.902173913,0.8708487085,0.6503496503,0.4533333333,0.5659340659,0.5617977528,0.946969697,0,0.875,0.2596153846,0.6714490674,0.5076923077,0.7876106195,0.3165829146,0.7773279352
13,Michigan,0,3,4,0.7344940152,0.9553571429,0.4723282443,0.734870317,0.6643835616,0.4597701149,0.663003663,0.6608040201,0.5688405797,0.6789667897,0.4755244755,0.3377777778,0.7362637363,0.691011236,0.5151515152,0.1547619048,0.6666666667,0.4230769231,0.649928264,0.4923076923,0.6283185841,0.2010050251,0.7408906883
