Rank,Name,Games Won,Region,Seed,Win %,SoS,Pts / Game,Opp Pts / Game,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA
1,Duke,6,3,1,0.9481981982,0.9553980825,0.6654124457,0.8209576683,0.475177305,0.7527472527,0.8509615385,0.9620596206,0.8872727273,0.9830827068,0.8582089552,0.9110169492,0.5568862275,0.6341463415,0.8918918919,0.3140794224,0.7938931298,0.4710743802,0.6975574713,0.4250681199,0.7190082645,0.5874439462,0.6561403509
5,Villanova,1,3,2,0.8164414414,0.8945393914,0.8040520984,0.547536433,0.5886524823,0.6868131868,0.8317307692,0.8861788618,0.5672727273,0.765037594,0.7686567164,0.8008474576,0.6586826347,0.75,0.5608108108,0.5090252708,0.5877862595,0.4628099174,0.5596264368,0.340599455,0.4710743802,0.7847533632,0.2561403509
9,Baylor,3,3,3,0.838963964,0.9062109212,0.6636758321,0.7150127226,0.7943262411,0.7527472527,0.6875,0.9105691057,0.6945454545,0.8477443609,0.8582089552,0.8347457627,0.8203592814,0.8170731707,0.8851351351,0.3393501805,0.5038167939,0.2066115702,0.3340517241,0.378746594,0.5041322314,0.466367713,0.6877192982
13,Purdue,2,3,4,0.8963963964,0.9387244685,0.476121563,0.8156372889,0.4822695035,0.3846153846,0.6778846154,0.6802168022,0.8945454545,0.7913533835,0.447761194,0.4491525424,0.4730538922,0.5304878049,0.777027027,0.321299639,0.7328244275,0.6363636364,0.7909482759,0.5340599455,0.7190082645,0.5515695067,0.5543859649
17,Texas A&M,1,3,5,0.7578828829,0.9799916632,0.5010130246,0.7413832986,0.4609929078,0.478021978,0.3798076923,0.7046070461,0.7345454545,0.7255639098,0.671641791,0.6144067797,0.5089820359,0.5365853659,0.6959459459,0.321299639,0.6259541985,0.4462809917,0.5646551724,0.3814713896,0.479338843,0.735426009,0.6
21,Notre Dame,0,3,6,0.7027027027,0.8307628178,0.6150506512,0.6511681703,0.6737588652,0.7692307692,0.6778846154,0.9810298103,0.3781818182,0.7330827068,0.723880597,0.6737288136,0.748502994,0.762195122,0.5608108108,0.2238267148,0.7709923664,0.09917355372,0.4439655172,0.719346049,0.9917355372,0.533632287,0.7543859649
25,Richmond,0,3,7,0.7995495495,0.7144643602,0.4428364689,0.7814018043,0.5106382979,0.5879120879,0.5673076923,0.6585365854,0.7854545455,0.719924812,0.2462686567,0.3050847458,0.5928143713,0.5792682927,0.8310810811,0.2599277978,0.6946564885,0.5289256198,0.7413793103,0.3705722071,0.6033057851,0.3183856502,0.5789473684
29,California,1,3,8,0.7353603604,0.9157982493,0.6712011577,0.6551006246,0.7163120567,0.6923076923,0.8413461538,0.8997289973,0.5818181818,0.7819548872,0.7164179104,0.6737288136,0.7245508982,0.762195122,0.6216216216,0.3646209386,0.6564885496,0.305785124,0.4992816092,0.3950953678,0.6363636364,0.5022421525,0.6666666667
33,Louisville,0,3,9,0.6452702703,0.9045435598,0.6329956585,0.6176266482,0.5106382979,0.489010989,0.5721153846,0.8238482385,0.5236363636,0.6992481203,0.6268656716,0.8898305085,0.6107784431,0.6097560976,0.5608108108,0.3646209386,0.5496183206,0.5123966942,0.5596264368,0.5722070845,0.5867768595,0.4260089686,0.4666666667
37,St Mary's,2,3,10,0.8907657658,0.6631929971,0.7070911722,0.6965070553,0.7730496454,0.8681318681,0.8605769231,0.9891598916,0.6327272727,0.8703007519,0.7686567164,0.6610169492,0.8682634731,0.8780487805,0.8108108108,0.3321299639,0.679389313,0.1074380165,0.3929597701,0.5504087193,0.7933884298,0.4394618834,0.7789473684
