Rank,Name,Games Won,Region,Seed,Win %,SoS,Pts / Gm,Opp Pts / Gm,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA
53,Liberty,,2,13,0.8014018692,0.2355727821,0.5355587808,0.8104307061,0.7624309392,0.6098901099,0.8225108225,0.6934673367,0.765060241,0.7863501484,0.5751633987,0.4537815126,0.8624338624,0.827027027,0.6933333333,0.231884058,0.6923076923,0.696969697,0.7596843615,0.5627118644,0.6229508197,0.2731958763,0.7136363636
54,Vermont,,3,13,0.7932242991,0.2971576227,0.5300435414,0.7090536185,0.5801104972,0.489010989,0.7878787879,0.608040201,0.6897590361,0.6988130564,0.6405228758,0.4705882353,0.6084656085,0.6540540541,0.5733333333,0.2946859903,0.8076923077,0.5757575758,0.7360114778,0.2305084746,0.4098360656,0.7371134021,0.8181818182
55,Old Dominion,,0,14,0.7932242991,0.3583118002,0.3425253991,0.8072077351,0.3756906077,0.5659340659,0.3982683983,0.4447236181,0.7590361446,0.6364985163,0.6928104575,0.6932773109,0.417989418,0.3783783784,0.8,0.2270531401,0.7403846154,0.4444444444,0.6154949785,0.4983050847,0.4508196721,0.2989690722,0.7136363636
56,UC Irvine,,1,14,0.8341121495,0.3854435831,0.4336719884,0.7119835921,0.5359116022,0.5769230769,0.4935064935,0.4874371859,0.6927710843,0.6290801187,0.7254901961,0.7394957983,0.5132275132,0.4864864865,0.8333333333,0.2608695652,0.6442307692,0.2929292929,0.5028694405,0.3661016949,0.3770491803,0.3659793814,0.5863636364
57,N Kentucky,,2,14,0.7207943925,0.3221360896,0.6687953556,0.5912686786,0.7237569061,0.5659340659,0.4112554113,0.6783919598,0.6204819277,0.706231454,0.6666666667,0.6596638655,0.7883597884,0.7405405405,0.6066666667,0.4154589372,0.6634615385,0.4949494949,0.6262553802,0.7355932203,0.6229508197,0.5824742268,0.5181818182
58,S Dakota St,,3,14,0.7710280374,0.245047373,0.8386066763,0.4459419865,0.8508287293,0.8571428571,0.8831168831,0.7763819095,0.5240963855,0.7166172107,0.6732026144,0.3235294118,0.9523809524,0.9513513514,0.5866666667,0.5748792271,0.75,0.202020202,0.5358680057,0.3728813559,0.5655737705,0.5824742268,0.95
59,Loyola (IL),,0,15,0.5595794393,0.4530577089,0.284179971,0.8113096982,0.8011049724,0.5989010989,0.4025974026,0.4422110553,0.6807228916,0.5964391691,0.5032679739,0.1554621849,0.7830687831,0.7189189189,0.4733333333,0.1352657005,0.4807692308,0.7171717172,0.6585365854,0.5694915254,0.4508196721,0.4432989691,0.9272727273
60,Montana,,1,15,0.773364486,0.2325581395,0.6249637155,0.5695868737,0.7790055249,0.6978021978,0.4935064935,0.6633165829,0.5481927711,0.6617210682,0.568627451,0.5,0.8306878307,0.7783783784,0.46,0.3816425121,0.7115384615,0.5757575758,0.7080344333,0.4101694915,0.5163934426,0.4793814433,0.3954545455
61,Radford,,2,15,0.6682242991,0.3837209302,0.5384615385,0.5833577498,0.6298342541,0.6813186813,0.6147186147,0.6206030151,0.4969879518,0.6112759644,0.614379085,0.5714285714,0.6931216931,0.6540540541,0.4266666667,0.2898550725,0.7596153846,0.5050505051,0.6771879484,0.4644067797,0.5655737705,0.3144329897,0.7136363636
62,Texas State,,3,15,0.7932242991,0.3410852713,0.5134978229,0.7237034867,0.5690607735,0.489010989,0.367965368,0.5251256281,0.7771084337,0.6928783383,0.7189542484,0.7226890756,0.5873015873,0.5405405405,0.6666666667,0.3671497585,0.6057692308,0.7272727273,0.6901004304,0.6305084746,0.4754098361,0.4432989691,0.4545454545
63,Bucknell,,0,16,0.6261682243,0.3475452196,0.6119013062,0.4409610314,0.5690607735,0.5164835165,0.7142857143,0.5527638191,0.4668674699,0.556379822,0.4509803922,0.4495798319,0.6560846561,0.6648648649,0.5733333333,0.5024154589,0.6826923077,0.2424242424,0.5236728838,0.6677966102,0.5573770492,0.5773195876,0.6818181818
64,Prairie View,,1,16,0.5035046729,0.1528854436,0.4943396226,0.4037503662,0.4309392265,0.2967032967,0.3896103896,0.3668341709,0.4668674699,0.4465875371,0.2418300654,0.6050420168,0.3703703704,0.3783783784,0.3266666667,0.5748792271,0.6442307692,0.898989899,0.8737446198,0.3423728814,0.2950819672,0.6597938144,0.1636363636
65,Canisius,,1,16,0.4170560748,0.2842377261,0.4098693759,0.4087313214,0.4475138122,0.3956043956,0.5194805195,0.3819095477,0.328313253,0.3872403561,0.2875816993,0.4831932773,0.4973544974,0.4810810811,0.2533333333,0.38647343,0.5480769231,0.6363636364,0.6592539455,0.6779661017,0.4262295082,0.4072164948,0.5090909091
66,Norfolk St,,2,16,0.5841121495,0.105081826,0.5143686502,0.5508350425,0.5193370166,0.6593406593,0.5844155844,0.3994974874,0.6656626506,0.5637982196,0.4248366013,0.4411764706,0.5555555556,0.572972973,0.6,0.5217391304,0.4326923077,0.6868686869,0.6284074605,0.406779661,0.237704918,0.6958762887,0.4
67,St Francis-PA,,2,16,0.5245327103,0.2071490095,0.5854862119,0.3808965719,0.4751381215,0.456043956,0.6017316017,0.540201005,0.3554216867,0.4940652819,0.5947712418,0.7773109244,0.4761904762,0.4756756757,0.3466666667,0.4927536232,0.7307692308,0.404040404,0.5882352941,0.2983050847,0.3770491803,0.4484536082,0.7272727273
68,Sam Hou St,,3,16,0.6682242991,0.2192075797,0.5497822932,0.5678288895,0.5138121547,0.5934065934,0.7142857143,0.5150753769,0.6054216867,0.6023738872,0.4967320261,0.5672268908,0.5873015873,0.5675675676,0.4866666667,0.3913043478,0.6634615385,0.7777777778,0.7898134864,0.7389830508,0.5901639344,0.293814433,0.3681818182
