Rank,Name,Games Won,Region,Seed,Win %,SoS,Pts / Game,Opp Pts / Game,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA
24,Xavier,2,1,6,0.611907387,0.8933172303,0.6659361302,0.4968253968,0.7272727273,0.5,0.7077625571,0.7303102625,0.4660194175,0.6436597111,0.6622516556,0.5194805195,0.7311827957,0.76,0.3648648649,0.4166666667,0.5714285714,0.34375,0.4668246445,0.762987013,0.6444444444,0.5321637427,0.7061403509
22,Providence,0,2,6,0.6394707828,0.8941223833,0.5535378835,0.5555555556,0.503030303,0.3020833333,0.602739726,0.6252983294,0.5275080906,0.6035313002,0.6688741722,0.683982684,0.4623655914,0.5085714286,0.4256756757,0.4215686275,0.6134453782,0.3984375,0.5118483412,0.5974025974,0.5185185185,0.567251462,0.5087719298
21,SMU,0,3,6,0.8015435502,0.655394525,0.5350657483,0.7377777778,0.7272727273,0.5625,0.5844748858,0.7064439141,0.6860841424,0.7367576244,0.8079470199,0.7705627706,0.6397849462,0.6742857143,0.6418918919,0.3039215686,0.487394958,0.4296875,0.4652448657,0.7857142857,0.5703703704,0.6959064327,0.7763157895
23,Butler,1,0,6,0.6714443219,0.8586956522,0.5313087038,0.6993650794,0.4727272727,0.5260416667,0.5068493151,0.6372315036,0.7055016181,0.6998394864,0.7549668874,0.6666666667,0.4623655914,0.4857142857,0.5540540541,0.3480392157,0.6974789916,0.40625,0.5584518167,0.2824675325,0.4222222222,0.5204678363,0.701754386
28,VCU,0,1,7,0.7221609702,0.7572463768,0.6399499061,0.5466666667,0.3878787879,0.4583333333,0.3744292237,0.6515513126,0.6019417476,0.658105939,0.4238410596,0.5411255411,0.4784946237,0.4628571429,0.3581081081,0.4558823529,0.7899159664,0.6640625,0.8562401264,0.3928571429,0.5407407407,0.3216374269,0.548245614
25,Michigan St,4,2,7,0.6890848953,0.9142512077,0.5970569818,0.6146031746,0.6666666667,0.6770833333,0.2602739726,0.7279236277,0.5533980583,0.6853932584,0.7350993377,0.6103896104,0.7204301075,0.6457142857,0.5743243243,0.2892156863,0.6470588235,0.1796875,0.3799368088,0.8084415584,0.7407407407,0.09941520468,0.4649122807
26,Wichita St,2,0,7,0.8710033076,0.6598228663,0.5716969317,0.8136507937,0.5454545455,0.53125,0.5753424658,0.799522673,0.7540453074,0.8330658106,0.7152317881,0.6753246753,0.5860215054,0.5942857143,0.5810810811,0.2352941176,0.8403361345,0.5234375,0.7393364929,0.5357142857,0.7407407407,0.4035087719,0.5789473684
27,Iowa,1,3,7,0.6394707828,0.8494363929,0.5551033187,0.6565079365,0.4606060606,0.40625,0.7716894977,0.6730310263,0.6245954693,0.683788122,0.6688741722,0.7056277056,0.4462365591,0.5142857143,0.6351351351,0.362745098,0.6890756303,0.3203125,0.5236966825,0.6461038961,0.6074074074,0.5380116959,0.8114035088
30,Oregon,1,1,8,0.7221609702,0.8196457327,0.7304320601,0.3863492063,0.6545454545,0.5572916667,0.8447488584,0.7183770883,0.4077669903,0.606741573,0.5364238411,0.4978354978,0.6774193548,0.6857142857,0.472972973,0.5343137255,0.6638655462,0.171875,0.4131121643,0.4025974026,0.5555555556,0.1578947368,0.6403508772
31,NC State,2,2,8,0.5997794928,0.902979066,0.5670006262,0.5476190476,0.4909090909,0.53125,0.5068493151,0.6873508353,0.4563106796,0.6099518459,0.6291390728,0.6363636364,0.5107526882,0.5085714286,0.5945945946,0.362745098,0.7647058824,0.0546875,0.3736176935,0.2467532468,0.4814814815,0.3099415205,0.6271929825
29,Cincinnati,1,0,8,0.6714443219,0.6888083736,0.3168440827,0.8628571429,0.5515151515,0.3854166667,0.4337899543,0.5632458234,0.7411003236,0.6677367576,0.7086092715,0.7792207792,0.5215053763,0.5142857143,0.777027027,0.1225490196,0.4117647059,0.375,0.3767772512,0.4220779221,0.3333333333,0.3450292398,0.951754386
32,SDSU,1,3,8,0.7530319735,0.6823671498,0.3068252974,0.9250793651,0.3818181818,0.3385416667,0.2511415525,0.5131264916,0.8932038835,0.709470305,0.6357615894,0.696969697,0.3709677419,0.3371428571,0.7972972973,0.181372549,0.6050420168,0.5,0.5624012638,0.2694805195,0.3407407407,0.2222222222,0.9298245614
35,LSU,0,2,9,0.6615214994,0.7383252818,0.6696931747,0.4866666667,0.6060606061,0.4375,0.497716895,0.5704057279,0.6569579288,0.6308186196,0.5761589404,0.632034632,0.564516129,0.5485714286,0.7162162162,0.612745098,0.4453781513,0.3203125,0.3680884676,0.6168831169,0.4592592593,0.2280701754,0.8421052632
33,St John's,0,3,9,0.6273428886,0.8756038647,0.5939261115,0.48,0.5272727273,0.484375,0.5296803653,0.6062052506,0.4951456311,0.5746388443,0.3046357616,0.3939393939,0.5161290323,0.5257142857,0.5878378378,0.5147058824,0.7478991597,0.328125,0.6319115324,0.3279220779,0.5185185185,0.3567251462,0.7412280702
36,Purdue,0,0,9,0.6074972437,0.8192431562,0.5579211021,0.5853968254,0.5696969697,0.375,0.4931506849,0.6491646778,0.5501618123,0.6308186196,0.7086092715,0.7445887446,0.5591397849,0.5828571429,0.5810810811,0.3823529412,0.487394958,0.2421875,0.3143759874,0.724025974,0.5037037037,0.5555555556,0.5307017544
34,OK State,0,1,9,0.5468577729,0.8993558776,0.4843456481,0.64,0.5151515152,0.4895833333,0.6894977169,0.5823389021,0.6084142395,0.6147672552,0.3841059603,0.367965368,0.5860215054,0.6285714286,0.5472972973,0.3676470588,0.5042016807,0.4609375,0.5442338073,0.3603896104,0.3481481481,0.5321637427,0.4429824561
38,Davidson,0,3,10,0.7530319735,0.6400966184,0.8453350031,0.4314285714,0.6787878788,0.7083333333,0.5936073059,0.9045346062,0.4012944984,0.7287319422,0.4966887417,0.4632034632,0.8494623656,0.8057142857,0.4391891892,0.4950980392,0.8739495798,0.2109375,0.5955766193,0.7175324675,1,0.07602339181,0.7149122807
37,Indiana,0,0,10,0.5744211687,0.8015297907,0.7955541641,0.3584126984,0.6606060606,0.7864583333,0.6575342466,0.861575179,0.2783171521,0.6388443018,0.6225165563,0.6883116883,0.7849462366,0.7771428571,0.3513513514,0.4803921569,0.6722689076,0.1328125,0.3657187994,0.4025974026,0.5555555556,0.2631578947,0.7192982456
39,Ohio State,1,1,10,0.6824696803,0.808373591,0.7282404508,0.6358730159,0.7757575758,0.5989583333,0.4794520548,0.8114558473,0.6666666667,0.797752809,0.5761589404,0.6147186147,0.7741935484,0.7428571429,0.5810810811,0.4362745098,0.6722689076,0.5078125,0.6721958926,0.538961039,0.6592592593,0.269005848,0.8377192982
40,Georgia,0,2,10,0.6273428886,0.8578904992,0.5056355667,0.5917460317,0.4666666667,0.453125,0.5342465753,0.5632458234,0.5922330097,0.5939004815,0.6754966887,0.5584415584,0.4677419355,0.5314285714,0.6621621622,0.3774509804,0.512605042,0.1796875,0.2985781991,0.525974026,0.3851851852,0.8245614035,0.6447368421
43,Ole Miss,0,1,11,0.6074972437,0.7938808374,0.6499686913,0.4631746032,0.4121212121,0.4010416667,0.904109589,0.6849642005,0.4498381877,0.6051364366,0.5960264901,0.670995671,0.4301075269,0.5142857143,0.4527027027,0.4852941176,0.731092437,0.3125,0.551342812,0.4642857143,0.5407407407,0.5204678363,0.4605263158
42,UCLA,2,3,11,0.5997794928,0.844605475,0.623356293,0.4717460317,0.5333333333,0.5885416667,0.4611872146,0.6420047733,0.4789644013,0.5906902087,0.6490066225,0.6277056277,0.5268817204,0.5142857143,0.4391891892,0.5,0.6470588235,0.28125,0.4478672986,0.4772727273,0.5185185185,0.3040935673,0.7105263158
46,Dayton,1,2,11,0.7530319735,0.6751207729,0.492172824,0.7038095238,0.6484848485,0.53125,0.5068493151,0.6181384248,0.6763754045,0.6725521669,0.3841059603,0.1731601732,0.7096774194,0.7314285714,0.5405405405,0.3480392157,0.5462184874,0.4921875,0.593206951,0.7045454545,0.5333333333,0.8187134503,0.7894736842
41,Texas,0,0,11,0.5744211687,0.8768115942,0.4796493425,0.7219047619,0.4727272727,0.4375,0.6803652968,0.6372315036,0.6666666667,0.6805778491,0.8741721854,0.8051948052,0.5,0.5371428571,0.8310810811,0.2843137255,0.487394958,0,0.1240126382,0.5422077922,0.4148148148,0.4385964912,0.6842105263
50,SF Austin,0,3,12,0.8665931643,0.3425925926,0.8315591735,0.5920634921,0.8,0.6458333333,0.7351598174,0.8591885442,0.6763754045,0.834670947,0.7549668874,0.8051948052,0.8548387097,0.8971428571,0.3445945946,0.5343137255,0.4285714286,0.796875,0.6879936809,0.8636363636,0.5851851852,0.7251461988,0.1929824561
48,Buffalo,0,0,12,0.6945975744,0.5760869565,0.7069505322,0.4676190476,0.4848484848,0.4479166667,0.6575342466,0.6992840095,0.5177993528,0.6484751204,0.6092715232,0.658008658,0.4784946237,0.5485714286,0.4594594595,0.568627451,0.7142857143,0.390625,0.5979462875,0.4188311688,0.5111111111,0.6783625731,0.6973684211
49,Wofford,0,1,12,0.8081587652,0.3917069243,0.4561678147,0.74,0.6,0.609375,0.5159817352,0.6443914081,0.6504854369,0.6773675762,0.5496688742,0.4242424242,0.6344086022,0.6285714286,0.5135135135,0.2745098039,0.6302521008,0.453125,0.579778831,0.5714285714,0.562962963,0.4210526316,0.5964912281
47,Wyoming,0,2,12,0.7133406836,0.5100644122,0.295241077,0.8444444444,0.6424242424,0.3697916667,0.5799086758,0.5704057279,0.6699029126,0.6372391653,0.4701986755,0.1298701299,0.688172043,0.7028571429,0.5945945946,0.05882352941,0.4789915966,0.3046875,0.3965244866,0.9188311688,0.6074074074,0.5087719298,0.8947368421
53,E Washington,0,3,13,0.7453142227,0.3570853462,0.893550407,0.2876190476,0.7454545455,0.7552083333,0.6894977169,0.9045346062,0.2524271845,0.6548956661,0.4768211921,0.4588744589,0.8817204301,0.88,0.1959459459,0.5490196078,0.756302521,0.28125,0.5545023697,0.25,0.5555555556,0.3801169591,0.5877192982
