Rank,Name,Games Won,Region,Seed,Win %,SoS,Pts / Game,Opp Pts / Game,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA
4,Gonzaga,5,1,1,1,0.6533976679,0.7554347826,0.8078613281,0.8971428571,0.6866666667,0.5743589744,0.8597560976,1,1,0.7727272727,0.55078125,0.8385416667,0.8735632184,1,0.4608695652,0.8118811881,0.2540983607,0.4405426975,0.4464944649,0.5639097744,0.6342857143,0.9098360656
1,Villanova,1,0,1,0.9318181818,0.8604744672,0.5709918478,0.7790527344,0.8457142857,0.6,0.9487179487,0.8963414634,0.7133550489,0.8584729981,0.6623376623,0.55859375,0.8802083333,0.9655172414,0.6086956522,0.2304347826,0.7326732673,0.4754098361,0.5474860335,0.4649446494,0.5112781955,0.6114285714,1
3,UNC,6,3,1,0.8590909091,0.9601930036,0.8169157609,0.5854492188,0.68,0.5066666667,0.4923076923,0.8475609756,0.664495114,0.800744879,1,1,0.5885416667,0.6091954023,0.5403726708,0.5347826087,0.8910891089,0.393442623,0.5275339186,0.7084870849,0.7142857143,0.4285714286,0.7008196721
2,Kansas,3,2,1,0.9,0.9790912746,0.7747961957,0.5539550781,0.8057142857,0.8333333333,0.3743589744,0.8292682927,0.5765472313,0.739292365,0.6623376623,0.7109375,0.8072916667,0.7988505747,0.5527950311,0.4826086957,0.7227722772,0.3524590164,0.4453312051,0.5461254613,0.5263157895,0.4285714286,0.7540983607
6,Arizona,2,1,2,0.9045454545,0.7941294733,0.5499320652,1,0.7428571429,0.74,0.8205128205,0.7804878049,0.6319218241,0.7411545624,0.7987012987,0.6796875,0.6822916667,0.7816091954,0.6086956522,0.3043478261,0.7821782178,0.2786885246,0.4261771748,0.4280442804,0.4736842105,0.8057142857,0.8319672131
7,Duke,1,0,2,0.7818181818,0.9260152795,0.6949728261,0.5954589844,0.7314285714,0.66,0.8051282051,0.8384146341,0.5504885993,0.729981378,0.5909090909,0.62109375,0.7395833333,0.8275862069,0.5838509317,0.4173913043,0.8118811881,0.2540983607,0.4413407821,0.2878228782,0.4285714286,0.7428571429,0.7254098361
5,Kentucky,3,3,2,0.8784090909,0.9091274628,0.831861413,0.5642089844,0.72,0.4933333333,0.5076923077,0.7804878049,0.7035830619,0.782122905,0.6753246753,0.68359375,0.640625,0.6896551724,0.602484472,0.6086956522,0.8910891089,0.4180327869,0.5977653631,0.4391143911,0.5563909774,0.68,0.7049180328
8,Louisville,1,2,2,0.7568181818,0.9356654604,0.574388587,0.6984863281,0.6285714286,0.5066666667,0.4153846154,0.7256097561,0.7100977199,0.7523277467,0.7337662338,0.81640625,0.5625,0.5689655172,0.6459627329,0.3565217391,0.8910891089,0.4262295082,0.5873902634,0.3210332103,0.4887218045,0.3657142857,0.5327868852
10,Florida St,1,1,3,0.7659090909,0.8439887415,0.7374320652,0.5490722656,0.7771428571,0.4533333333,0.4307692308,0.7591463415,0.5895765472,0.7039106145,0.6428571429,0.69921875,0.6822916667,0.7011494253,0.5217391304,0.5347826087,0.8217821782,0.4180327869,0.5658419792,0.3542435424,0.4887218045,0.5485714286,0.5409836066
9,Oregon,4,2,3,0.8829545455,0.8242862887,0.6280570652,0.7033691406,0.7657142857,0.6733333333,0.5487179487,0.7926829268,0.7231270358,0.800744879,0.6558441558,0.64453125,0.7708333333,0.7931034483,0.6832298137,0.3695652174,0.7623762376,0.393442623,0.5123703113,0.6125461255,0.5789473684,0.4457142857,0.8770491803
